1123031037 2005.08.02 R00-M0-ND 2005-08-02-18.03.57.614892 R00-M0-ND NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N5 2005-08-02-18.04.05.617635 R00-M1-N5 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J07 do not match. VPD ecid 07510DA0D72FFFFF070D1B709AE0, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N8 2005-08-02-18.04.05.618488 R00-M1-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-NA 2005-08-02-18.04.05.627318 R00-M0-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-NA 2005-08-02-18.04.05.630865 R00-M1-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N8 2005-08-02-18.04.05.635028 R00-M0-N8 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 075604E51F7BFFFF07051CD04EFA, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N3 2005-08-02-18.04.05.638838 R00-M0-N3 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N7 2005-08-02-18.04.05.642276 R00-M0-N7 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J02 do not match. VPD ecid 074404C8497BFFFF07041BE046E5, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N2 2005-08-02-18.04.05.643159 R00-M1-N2 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N5 2005-08-02-18.04.05.651152 R00-M0-N5 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J02 do not match. VPD ecid 04C080A6402FFFFF040E1C2054EA, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N7 2005-08-02-18.04.05.652523 R00-M1-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N5 2005-08-02-18.04.05.655959 R00-M1-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N8 2005-08-02-18.04.05.659281 R00-M1-N8 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J12 do not match. VPD ecid 04C280A68F2FFFFF0B0C1B008ED3, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-NA 2005-08-02-18.04.05.660222 R00-M0-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-NA 2005-08-02-18.04.05.660915 R00-M1-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N8 2005-08-02-18.04.05.664380 R00-M0-N8 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 075604E4CD7BFFFF0B081B70C6E0, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N3 2005-08-02-18.04.05.668664 R00-M0-N3 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N7 2005-08-02-18.04.05.672587 R00-M0-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N2 2005-08-02-18.04.05.676157 R00-M1-N2 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J03 do not match. VPD ecid 07450D43E32FFFFF080B1A6094C7, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N7 2005-08-02-18.04.05.679656 R00-M1-N7 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 074604C0C47BFFFF090A1A210CC0, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N5 2005-08-02-18.04.05.683180 R00-M0-N5 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J02 do not match. VPD ecid 04DA80A5DD2FFFFF08051BA04EE0, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N5 2005-08-02-18.04.05.684027 R00-M1-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N8 2005-08-02-18.04.05.693564 R00-M1-N8 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J12 do not match. VPD ecid 04C880A6892FFFFF09091B009AD2, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-NA 2005-08-02-18.04.05.697355 R00-M1-NA NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 04D28092482FFFFF0A0D1C205CEA, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-NA 2005-08-02-18.04.05.701053 R00-M0-NA NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 074A04E45B7BFFFF060C1C7044F3, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N8 2005-08-02-18.04.05.705212 R00-M0-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N3 2005-08-02-18.04.05.708559 R00-M0-N3 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 074B04E08F7BFFFF080C1B3082D5, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N7 2005-08-02-18.04.05.714978 R00-M0-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N2 2005-08-02-18.04.05.718883 R00-M1-N2 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J03 do not match. VPD ecid 07510D44552FFFFF020A1A90D8CD, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N7 2005-08-02-18.04.05.722292 R00-M1-N7 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J08 do not match. VPD ecid 075904C1037BFFFF04051B0088D4, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N5 2005-08-02-18.04.05.726292 R00-M0-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N5 2005-08-02-18.04.05.729772 R00-M1-N5 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 07490DA00F2FFFFF0A0D1B6098E0, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N8 2005-08-02-18.04.05.733147 R00-M1-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-NA 2005-08-02-18.04.05.743160 R00-M1-NA NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J08 do not match. VPD ecid 04D28092482FFFFF01091C0092EA, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-NA 2005-08-02-18.04.05.746707 R00-M0-NA NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J08 do not match. VPD ecid 074F04E4557BFFFF0A081C6044F1, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N8 2005-08-02-18.04.05.747786 R00-M0-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N3 2005-08-02-18.04.05.751525 R00-M0-N3 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J08 do not match. VPD ecid 075D04E0507BFFFF02081B2094D4, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N7 2005-08-02-18.04.05.755094 R00-M0-N7 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J03 do not match. VPD ecid 04C57DB7837BFFFF020B1B704ADB, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N2 2005-08-02-18.04.05.761490 R00-M1-N2 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N7 2005-08-02-18.04.05.765126 R00-M1-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N5 2005-08-02-18.04.05.766124 R00-M0-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N5 2005-08-02-18.04.05.775553 R00-M1-N5 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J08 do not match. VPD ecid 07400D989B2FFFFF0B0D1B6096DE, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N8 2005-08-02-18.04.05.776477 R00-M1-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-NA 2005-08-02-18.04.05.779763 R00-M1-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-NA 2005-08-02-18.04.05.837457 R00-M0-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N8 2005-08-02-18.04.05.841276 R00-M0-N8 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 076204C7D07BFFFF05081AE088D0, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N3 2005-08-02-18.04.05.844851 R00-M0-N3 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N7 2005-08-02-18.04.05.848666 R00-M0-N7 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J03 do not match. VPD ecid 04CC7D02CF7BFFFF0B0B1A9104CB, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N2 2005-08-02-18.04.05.849781 R00-M1-N2 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N7 2005-08-02-18.04.05.853806 R00-M0-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N5 2005-08-02-18.04.05.858059 R00-M0-N5 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J03 do not match. VPD ecid 075C04C1007BFFFF03081A60CAC6, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N7 2005-08-02-18.04.05.865840 R00-M1-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N5 2005-08-02-18.04.05.869111 R00-M1-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N2 2005-08-02-18.04.05.872582 R00-M1-N2 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J04 do not match. VPD ecid 07450D43E32FFFFF0C0A1A9090CE, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N8 2005-08-02-18.04.05.876044 R00-M1-N8 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J13 do not match. VPD ecid 04C580A6DE2FFFFF0B061AE084D1, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-NA 2005-08-02-18.04.05.876817 R00-M1-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-NA 2005-08-02-18.04.05.877685 R00-M0-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N3 2005-08-02-18.04.05.878846 R00-M0-N3 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N8 2005-08-02-18.04.05.882947 R00-M0-N8 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 04D379D65A7BFFFF090F0BC046E2, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N7 2005-08-02-18.04.05.886608 R00-M0-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N5 2005-08-02-18.04.05.890389 R00-M0-N5 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J03 do not match. VPD ecid 075C04C1007BFFFF0D0B1A7112C9, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N7 2005-08-02-18.04.05.894145 R00-M1-N7 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 075704C0D67BFFFF0A091A10CABF, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N5 2005-08-02-18.04.05.895220 R00-M1-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N2 2005-08-02-18.04.05.898488 R00-M1-N2 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 07510D44552FFFFF07091A20CAC2, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-NA 2005-08-02-18.04.05.902147 R00-M1-NA NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 04C88092802FFFFF0A0A1AE08ED3, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N3 2005-08-02-18.04.05.913386 R00-M0-N3 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 075D04E0507BFFFF0C031B508ED8, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-NA 2005-08-02-18.04.05.918419 R00-M0-NA NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 075704E4CC7BFFFF04061C7044F4, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N8 2005-08-02-18.04.05.922437 R00-M1-N8 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J13 do not match. VPD ecid 04C280A68F2FFFFF0C081A8084C9, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N8 2005-08-02-18.04.05.926113 R00-M0-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N7 2005-08-02-18.04.05.930254 R00-M0-N7 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J04 do not match. VPD ecid 04C27E00227BFFFF03081C808CF2, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N5 2005-08-02-18.04.05.938666 R00-M0-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N7 2005-08-02-18.04.05.949919 R00-M1-N7 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 075904C1037BFFFF08041AE086D1, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N5 2005-08-02-18.04.05.953245 R00-M1-N5 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 07430DA0152FFFFF04081B5086DE, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N2 2005-08-02-18.04.05.956656 R00-M1-N2 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-NA 2005-08-02-18.04.05.960747 R00-M1-NA NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 04D38092472FFFFF0A081A50D0C4, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N3 2005-08-02-18.04.05.970289 R00-M0-N3 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 075604E0567BFFFF070D1BD08EE2, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-NA 2005-08-02-18.04.05.975886 R00-M0-NA NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 075704E4CC7BFFFF0F081C7048F3, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N8 2005-08-02-18.04.05.979423 R00-M1-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J14, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N8 2005-08-02-18.04.05.980329 R00-M0-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N7 2005-08-02-18.04.05.983667 R00-M0-N7 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 074704E2107BFFFF08081B50C6DB, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M0-N8 2005-08-02-18.04.05.987038 R00-M0-N8 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J11 do not match. VPD ecid 075604E4217BFFFF0D051C3048F0, found 0000000000000000000000000000
1123031045 2005.08.02 R00-M1-N7 2005-08-02-18.04.05.990498 R00-M1-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N5 2005-08-02-18.04.06.003853 R00-M1-N5 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 07400D989B2FFFFF0D0C1B008AD7, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N2 2005-08-02-18.04.06.004639 R00-M1-N2 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-NA 2005-08-02-18.04.06.008250 R00-M1-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N3 2005-08-02-18.04.06.011808 R00-M0-N3 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-NA 2005-08-02-18.04.06.015934 R00-M0-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N8 2005-08-02-18.04.06.016849 R00-M1-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J14, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N5 2005-08-02-18.04.06.024435 R00-M0-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N7 2005-08-02-18.04.06.027731 R00-M0-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N8 2005-08-02-18.04.06.031989 R00-M0-N8 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J11 do not match. VPD ecid 074904E55A7BFFFF0A041C7048F3, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N7 2005-08-02-18.04.06.032841 R00-M1-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N5 2005-08-02-18.04.06.036164 R00-M1-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N2 2005-08-02-18.04.06.040143 R00-M1-N2 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J05 do not match. VPD ecid 07450D43E32FFFFF090C1A808CCB, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-NA 2005-08-02-18.04.06.041057 R00-M1-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N3 2005-08-02-18.04.06.051110 R00-M0-N3 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-NA 2005-08-02-18.04.06.052044 R00-M0-NA NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N5 2005-08-02-18.04.06.055703 R00-M0-N5 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J04 do not match. VPD ecid 075D04C0D17BFFFF0C051AF0CCD1, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N8 2005-08-02-18.04.06.059727 R00-M1-N8 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J14 do not match. VPD ecid 04C380A68E2FFFFF0E061AB096CE, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N7 2005-08-02-18.04.06.060548 R00-M0-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N8 2005-08-02-18.04.06.063899 R00-M0-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N7 2005-08-02-18.04.06.067328 R00-M1-N7 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 074104C11B7BFFFF02071AC0D2CE, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N5 2005-08-02-18.04.06.075443 R00-M1-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N2 2005-08-02-18.04.06.079231 R00-M1-N2 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J05 do not match. VPD ecid 07630D44162FFFFF080F1B5044DC, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-NE 2005-08-02-18.04.06.082614 R00-M1-NE NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N3 2005-08-02-18.04.06.085969 R00-M0-N3 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 075B04E0527BFFFF08031BA088DD, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-NA 2005-08-02-18.04.06.089630 R00-M0-NA NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 075704E4CC7BFFFF04081CB04CF9, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-NA 2005-08-02-18.04.06.093076 R00-M1-NA NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 04D28092482FFFFF040E1C705EF2, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N5 2005-08-02-18.04.06.102157 R00-M0-N5 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 075A04C0D47BFFFF03051B0098D3, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N8 2005-08-02-18.04.06.106236 R00-M1-N8 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J14 do not match. VPD ecid 04C880A6892FFFFF0D0D1B608EDB, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N7 2005-08-02-18.04.06.109808 R00-M0-N7 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J05 do not match. VPD ecid 075104D2077BFFFF0B091AE088D0, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N8 2005-08-02-18.04.06.111143 R00-M0-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N7 2005-08-02-18.04.06.114463 R00-M1-N7 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 074604C0C47BFFFF05071A50CCC3, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N5 2005-08-02-18.04.06.129123 R00-M1-N5 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 07490DA00F2FFFFF090D1B309EDB, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N7 2005-08-02-18.04.06.140817 R00-M1-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-NE 2005-08-02-18.04.06.144329 R00-M1-NE NULL DISCOVERY ERROR Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
1123031046 2005.08.02 R00-M0-N5 2005-08-02-18.04.06.148567 R00-M0-N5 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N8 2005-08-02-18.04.06.159572 R00-M1-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J15, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-NA 2005-08-02-18.04.06.163840 R00-M1-NA NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 04C88092802FFFFF0A071AE09AD3, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N2 2005-08-02-18.04.06.167294 R00-M1-N2 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J06, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N3 2005-08-02-18.04.06.170853 R00-M0-N3 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 074B04E08F7BFFFF03091B20CCD4, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N7 2005-08-02-18.04.06.174498 R00-M0-N7 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J05 do not match. VPD ecid 075104D2077BFFFF040C1BA046DF, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-N8 2005-08-02-18.04.06.177988 R00-M0-N8 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J12 do not match. VPD ecid 04D379D65A7BFFFF0B0E0BE04EE3, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M0-NA 2005-08-02-18.04.06.181552 R00-M0-NA NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 075C04E5C67BFFFF06081C5046EF, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N7 2005-08-02-18.04.06.182772 R00-M1-N7 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-N5 2005-08-02-18.04.06.186421 R00-M1-N5 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 07490DA00F2FFFFF040E1BE096E9, found 0000000000000000000000000000
1123031046 2005.08.02 R00-M1-NE 2005-08-02-18.04.06.187288 R00-M1-NE NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
