1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.117038 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.721380 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J07 do not match. VPD ecid 07450E110A2FFFFF0A071AA0C8CE, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.724884 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J08 do not match. VPD ecid 04D18087012FFFFF080C1C704EF5, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.728545 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.732063 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.740491 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.742719 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.746387 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 07450E110A2FFFFF06031AA0CECE, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.749908 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 04CA8087872FFFFF02091C405CEF, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.753405 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J08 do not match. VPD ecid 075C0E11172FFFFF05031B709EDD, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.756917 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 04C18087902FFFFF020A1C1062EE, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.761476 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.765031 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.765957 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.770687 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.774871 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 075D0E11162FFFFF040B1A908ECA, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.779262 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 04CA8087D92FFFFF020B1C505AF4, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.837520 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 07470E10DB2FFFFF05081AC086CF, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.841519 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 04D18087012FFFFF080A1C1054EC, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.845194 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.852973 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.856763 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.868738 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 075C0E11172FFFFF0A0C1B308ED6, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.869677 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.874408 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 075C0E11172FFFFF030D1AE050D1, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.878280 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J11 do not match. VPD ecid 04D18087012FFFFF0B0B1C805EF7, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.889776 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.893351 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J11 do not match. VPD ecid 04CA8087872FFFFF05041B8048E1, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.894176 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.899032 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.902362 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J11 do not match. VPD ecid 07430E108D2FFFFF0E041A50D2C5, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.910949 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.915214 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J11 do not match. VPD ecid 07450E110A2FFFFF0C051A90CECC, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.918550 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J12 do not match. VPD ecid 04C380880D2FFFFF0D0C1C3052ED, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.929662 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.938059 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J12 do not match. VPD ecid 04CA8087D92FFFFF010A1BF0E0EB, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.947202 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.952954 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.956502 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J12 do not match. VPD ecid 07450E110A2FFFFF06071A5112C7, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.958067 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.962194 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J12 do not match. VPD ecid 07450E110A2FFFFF090D1A60C6C9, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.967293 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J13 do not match. VPD ecid 04CA8087D92FFFFF0C081B7054E0, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.975879 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.979632 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J13 do not match. VPD ecid 04C380880D2FFFFF0C0D1CB05CF9, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.981091 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.985568 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J14, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.992197 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J13 do not match. VPD ecid 07470E10DB2FFFFF07051AE086D2, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.001097 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J14, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.005496 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J13 do not match. VPD ecid 07470E10DB2FFFFF04061AC0D0CF, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.008934 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J14 do not match. VPD ecid 04D48086D02FFFFF0B0819F10CBF, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.012322 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J14, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.016242 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J14 do not match. VPD ecid 075D0DA0CC2FFFFF03061A9110CC, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.017788 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J14, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.027353 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J15, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.030817 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J14 do not match. VPD ecid 07430E108D2FFFFF06041A30C4C4, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.031729 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J15, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.036850 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J15 do not match. VPD ecid 04CB8082232FFFFF0A0C1BA05CE4, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.040396 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J14 do not match. VPD ecid 07450E110A2FFFFF0A061A70C4CA, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.054288 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J15 do not match. VPD ecid 07600D521D2FFFFF0D091A310CC3, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.058036 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J15, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.061455 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J16, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.062356 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J15, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.063932 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J16, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.077811 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J15 do not match. VPD ecid 07430E108D2FFFFF07031B008ED5, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.081361 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J16 do not match. VPD ecid 04CB8087072FFFFF04031BB054E4, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.084829 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J15 do not match. VPD ecid 075C0E11172FFFFF09071B604CDB, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.088369 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J16 do not match. VPD ecid 07550DA0822FFFFF0B041B80A2E2, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.092345 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J16, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.102225 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J17, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.104095 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J16, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.106775 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J17, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.109847 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J16 do not match. VPD ecid 07450E110A2FFFFF09071AB0CACF, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.113788 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J17 do not match. VPD ecid 074D0DA08A2FFFFF0F0B1AC158D1, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.117215 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J16 do not match. VPD ecid 07470E10DB2FFFFF0A071AE08ED2, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-NF 2005-08-02-18.04.06.129111 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J17 do not match. VPD ecid 04CD8087D52FFFFF0D061B6054E0, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.132792 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J17, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.135827 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J17, ecid 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.140977 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J17 do not match. VPD ecid 07470E10DB2FFFFF08061AC08ACF, found 0000000000000000000000000000
1123031046 2005.08.02 R20-M0-N9 2005-08-02-18.04.06.146709 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J17 do not match. VPD ecid 07450E110A2FFFFF0A051A610EC6, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.623399 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.635510 R20-M1-NB NULL DISCOVERY ERROR Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.680860 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.685930 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J02 do not match. VPD ecid 07550DD8532FFFFF0F0C1B00C4DA, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.691399 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J02 do not match. VPD ecid 07560DD8522FFFFF0B051AC08ED4, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.697775 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.700531 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.705751 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J03 do not match. VPD ecid 04DA8092C02FFFFF03091BB0A0E3, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.785361 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J03 do not match. VPD ecid 04CE80929E2FFFFF0B081A60D0C7, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.790369 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.792655 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.797653 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J04 do not match. VPD ecid 07490DD7E12FFFFF0A021B3088DC, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.808500 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 07560DD8522FFFFF07101BB0DCE9, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.813418 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.815589 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.820431 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J05 do not match. VPD ecid 04E28092DC2FFFFF09041B808EE1, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.825575 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J05 do not match. VPD ecid 04E28092DC2FFFFF0D071B6094DF, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.837514 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J06, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.839769 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J06, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.844693 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J06 do not match. VPD ecid 04D98092C12FFFFF0C0A1A8114CB, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.849857 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J06 do not match. VPD ecid 04C98092A32FFFFF04071AF08CD4, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.861885 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J07, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.864263 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J07, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.869035 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J07 do not match. VPD ecid 04C28092D72FFFFF0D0E1B00DED5, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.873919 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J07 do not match. VPD ecid 04CE80929E2FFFFF0E0C1AE090D3, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.885825 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.888620 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.897504 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 04CE80929E2FFFFF09081A40D0C7, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.902632 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J08 do not match. VPD ecid 04DA8092C02FFFFF0A101B2116D9, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.915728 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.918164 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.923014 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 04DA8092C02FFFFF0B0F1B0090D6, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.928014 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 04CE80929E2FFFFF08061AC096D0, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.946429 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.949002 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.982439 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 04E28092DC2FFFFF0B0C1BA086E2, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.987498 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 04E28092DC2FFFFF07081B40A2DC, found 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.993457 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031047 2005.08.02 R20-M1-NB 2005-08-02-18.04.07.997538 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031048 2005.08.02 R20-M1-NB 2005-08-02-18.04.08.002703 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J11 do not match. VPD ecid 04DA8092C02FFFFF050D1B8094E1, found 0000000000000000000000000000
1123031048 2005.08.02 R20-M1-NB 2005-08-02-18.04.08.008344 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J11 do not match. VPD ecid 04CE80929E2FFFFF020C1B1094D7, found 0000000000000000000000000000
1123031048 2005.08.02 R20-M1-NB 2005-08-02-18.04.08.013465 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031048 2005.08.02 R20-M1-NB 2005-08-02-18.04.08.021904 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031048 2005.08.02 R20-M1-NB 2005-08-02-18.04.08.027159 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J12 do not match. VPD ecid 04C28092D72FFFFF060B1B108ED7, found 0000000000000000000000000000
1123031048 2005.08.02 R20-M1-NB 2005-08-02-18.04.08.032407 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J12 do not match. VPD ecid 04DA8092C02FFFFF0A0F1B5092DD, found 0000000000000000000000000000
1123031048 2005.08.02 R20-M1-NB 2005-08-02-18.04.08.037463 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031048 2005.08.02 R20-M1-NB 2005-08-02-18.04.08.046385 R20-M1-NB NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031048 2005.08.02 R20-M1-NB 2005-08-02-18.04.08.051522 R20-M1-NB NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J13 do not match. VPD ecid 04CE80929E2FFFFF090C1B008ED5, found 0000000000000000000000000000
