- 1131628690 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.18.10.121515 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x0017e4c0, mask 0x11
- 1131632932 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.28.52.887060 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 torus receiver y- input pipe error(s) (dcr 0x02ef) detected and corrected
- 1131632933 2005.11.10 R65-M0-N6-C:J04-U11 2005-11-10-06.28.53.252574 R65-M0-N6-C:J04-U11 RAS KERNEL INFO CE sym 35, at 0x129a2060, mask 0x40
- 1131632934 2005.11.10 R71-M1-N8-C:J17-U11 2005-11-10-06.28.54.675736 R71-M1-N8-C:J17-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131632935 2005.11.10 R30-M1-N1-C:J03-U01 2005-11-10-06.28.55.709819 R30-M1-N1-C:J03-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131632935 2005.11.10 R22-M0-N9-C:J09-U11 2005-11-10-06.28.55.817025 R22-M0-N9-C:J09-U11 RAS KERNEL INFO CE sym 26, at 0x145a5480, mask 0x04
- 1131632936 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.28.56.289712 R13-M1-N2-C:J07-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131632937 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.28.57.258646 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131632937 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.28.57.630206 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected
- 1131632937 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.28.57.743443 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 3 torus receiver z- input pipe error(s) (dcr 0x02f1) detected and corrected
- 1131632938 2005.11.10 R65-M0-N6-C:J04-U11 2005-11-10-06.28.58.085353 R65-M0-N6-C:J04-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131632939 2005.11.10 R22-M0-N9-C:J09-U11 2005-11-10-06.28.59.447586 R22-M0-N9-C:J09-U11 RAS KERNEL INFO total of 2 ddr error(s) detected and corrected
- 1131632940 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.29.00.249500 R05-M1-N8-C:J14-U01 RAS KERNEL INFO total of 2 ddr error(s) detected and corrected
- 1131632940 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.29.00.370276 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 19 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected
- 1131632940 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.29.00.482864 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 22 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131632941 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.29.01.782216 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 22 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131633667 2005.11.10 R53-M0-N4-C:J17-U01 2005-11-10-06.41.07.684132 R53-M0-N4-C:J17-U01 RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x03): warning for torus x- wire
- 1131633667 2005.11.10 R53-M0-N4-C:J17-U01 2005-11-10-06.41.07.999587 R53-M0-N4-C:J17-U01 RAS KERNEL INFO suppressing further interrupts of same type
- 1131634152 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.49.12.812344 R22-M1-N7-C:J16-U11 RAS KERNEL INFO ddr: activating redundant bit steering for next allocation: rank=0 symbol=23
- 1131634361 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-06.52.41.750565 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131634361 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-06.52.41.889294 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131634362 2005.11.10 R53-M0-N1-C:J11-U01 2005-11-10-06.52.42.516117 R53-M0-N1-C:J11-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 316 out of 1024 #ofDirtyDblWord: 962 out of 4096
- 1131634362 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-06.52.42.874181 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131634363 2005.11.10 R43-M1-N2-C:J11-U11 2005-11-10-06.52.43.468439 R43-M1-N2-C:J11-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 297 out of 1024 #ofDirtyDblWord: 909 out of 4096
- 1131634363 2005.11.10 R57-M1-N5-C:J15-U11 2005-11-10-06.52.43.661119 R57-M1-N5-C:J15-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 297 out of 1024 #ofDirtyDblWord: 974 out of 4096
- 1131634363 2005.11.10 R47-M1-N1-C:J17-U11 2005-11-10-06.52.43.941395 R47-M1-N1-C:J17-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 284 out of 1024 #ofDirtyDblWord: 920 out of 4096
- 1131634364 2005.11.10 R30-M0-N9-C:J15-U11 2005-11-10-06.52.44.152392 R30-M0-N9-C:J15-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 270 out of 1024 #ofDirtyDblWord: 884 out of 4096
- 1131634364 2005.11.10 R23-M1-N2-C:J17-U01 2005-11-10-06.52.44.257874 R23-M1-N2-C:J17-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 262 out of 1024 #ofDirtyDblWord: 851 out of 4096
- 1131634364 2005.11.10 R32-M0-N9-C:J15-U01 2005-11-10-06.52.44.471251 R32-M0-N9-C:J15-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 316 out of 1024 #ofDirtyDblWord: 989 out of 4096
- 1131634365 2005.11.10 R71-M1-N8-C:J17-U11 2005-11-10-06.52.45.615604 R71-M1-N8-C:J17-U11 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 9, bit 2
- 1131634366 2005.11.10 R01-M0-N3-C:J13-U11 2005-11-10-06.52.46.885777 R01-M0-N3-C:J13-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 300 out of 1024 #ofDirtyDblWord: 919 out of 4096
- 1131634367 2005.11.10 R56-M0-N4-C:J09-U01 2005-11-10-06.52.47.944792 R56-M0-N4-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 31, bit 1
- 1131634368 2005.11.10 R22-M1-N8-C:J09-U01 2005-11-10-06.52.48.153092 R22-M1-N8-C:J09-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 333 out of 1024 #ofDirtyDblWord: 1034 out of 4096
- 1131634369 2005.11.10 R30-M1-N8-C:J05-U01 2005-11-10-06.52.49.727356 R30-M1-N8-C:J05-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 291 out of 1024 #ofDirtyDblWord: 915 out of 4096
- 1131634370 2005.11.10 R22-M0-N9-C:J09-U11 2005-11-10-06.52.50.378187 R22-M0-N9-C:J09-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 5
- 1131634370 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-06.52.50.586739 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131634372 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.52.52.179535 R13-M1-N2-C:J07-U01 RAS KERNEL INFO 10 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 1
- 1131634372 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.52.52.272027 R13-M1-N2-C:J07-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 280 out of 1024 #ofDirtyDblWord: 864 out of 4096
- 1131634373 2005.11.10 R04-M1-N7-C:J09-U01 2005-11-10-06.52.53.023583 R04-M1-N7-C:J09-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 274 out of 1024 #ofDirtyDblWord: 893 out of 4096
- 1131634373 2005.11.10 R44-M0-N3-C:J12-U01 2005-11-10-06.52.53.878260 R44-M0-N3-C:J12-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 281 out of 1024 #ofDirtyDblWord: 907 out of 4096
- 1131634373 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.52.53.997986 R22-M1-N7-C:J16-U11 RAS KERNEL INFO 37 ddr errors(s) detected and corrected on rank 0, symbol 23, bit 2
- 1131634375 2005.11.10 R60-M1-N2-C:J14-U01 2005-11-10-06.52.55.399133 R60-M1-N2-C:J14-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 259 out of 1024 #ofDirtyDblWord: 821 out of 4096
- 1131634376 2005.11.10 R15-M1-N1-C:J10-U11 2005-11-10-06.52.56.942885 R15-M1-N1-C:J10-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 300 out of 1024 #ofDirtyDblWord: 924 out of 4096
- 1131634377 2005.11.10 R12-M1-N5-C:J14-U11 2005-11-10-06.52.57.074747 R12-M1-N5-C:J14-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 308 out of 1024 #ofDirtyDblWord: 1014 out of 4096
- 1131634377 2005.11.10 R11-M0-N7-C:J12-U01 2005-11-10-06.52.57.421394 R11-M0-N7-C:J12-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 292 out of 1024 #ofDirtyDblWord: 904 out of 4096
- 1131634377 2005.11.10 R03-M1-N6-C:J16-U01 2005-11-10-06.52.57.523479 R03-M1-N6-C:J16-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 281 out of 1024 #ofDirtyDblWord: 894 out of 4096
- 1131634378 2005.11.10 R22-M0-N4-C:J10-U01 2005-11-10-06.52.58.414486 R22-M0-N4-C:J10-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 27, bit 6
- 1131634379 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.52.59.096724 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 4 torus receiver x- input pipe error(s) (dcr 0x02ed) detected and corrected
- 1131634379 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.52.59.196393 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 7 torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected
- 1131634380 2005.11.10 R52-M1-N3-C:J08-U01 2005-11-10-06.53.00.286313 R52-M1-N3-C:J08-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 277 out of 1024 #ofDirtyDblWord: 859 out of 4096
- 1131634380 2005.11.10 R43-M0-N1-C:J06-U01 2005-11-10-06.53.00.916438 R43-M0-N1-C:J06-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 301 out of 1024 #ofDirtyDblWord: 932 out of 4096
- 1131634381 2005.11.10 R32-M1-N8-C:J04-U11 2005-11-10-06.53.01.443859 R32-M1-N8-C:J04-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 310 out of 1024 #ofDirtyDblWord: 972 out of 4096
- 1131634381 2005.11.10 R50-M1-N3-C:J08-U11 2005-11-10-06.53.01.856612 R50-M1-N3-C:J08-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 280 out of 1024 #ofDirtyDblWord: 863 out of 4096
- 1131634381 2005.11.10 R76-M1-N6-C:J06-U11 2005-11-10-06.53.01.950206 R76-M1-N6-C:J06-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 256 out of 1024 #ofDirtyDblWord: 838 out of 4096
- 1131634383 2005.11.10 R04-M0-N3-C:J02-U01 2005-11-10-06.53.03.172191 R04-M0-N3-C:J02-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 312 out of 1024 #ofDirtyDblWord: 968 out of 4096
- 1131634383 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.03.939092 R05-M1-N8-C:J14-U01 RAS KERNEL INFO 10 ddr errors(s) detected and corrected on rank 0, symbol 33, bit 3
- 1131634384 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-06.53.04.651672 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131634385 2005.11.10 R71-M1-N8-C:J17-U11 2005-11-10-06.53.05.437112 R71-M1-N8-C:J17-U11 RAS KERNEL INFO CE sym 9, at 0x123b6ca0, mask 0x20
- 1131634386 2005.11.10 R56-M0-N4-C:J09-U01 2005-11-10-06.53.06.381835 R56-M0-N4-C:J09-U01 RAS KERNEL INFO CE sym 31, at 0x148d7460, mask 0x40
- 1131634387 2005.11.10 R22-M0-N9-C:J09-U11 2005-11-10-06.53.07.081236 R22-M0-N9-C:J09-U11 RAS KERNEL INFO CE sym 26, at 0x145a5480, mask 0x04
- 1131634387 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-06.53.07.297002 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131634387 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.07.831091 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634388 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.08.236917 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634389 2005.11.10 R22-M0-N4-C:J10-U01 2005-11-10-06.53.09.409374 R22-M0-N4-C:J10-U01 RAS KERNEL INFO CE sym 27, at 0x1236bae0, mask 0x02
- 1131634389 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.09.625226 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634389 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.53.09.732467 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 5 torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected
- 1131634389 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.53.09.839633 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 4 torus receiver y- input pipe error(s) (dcr 0x02ef) detected and corrected
- 1131634391 2005.11.10 R71-M1-N8-C:J17-U11 2005-11-10-06.53.11.992262 R71-M1-N8-C:J17-U11 RAS KERNEL INFO CE sym 9, at 0x123b6ca0, mask 0x20
- 1131634392 2005.11.10 R56-M0-N4-C:J09-U01 2005-11-10-06.53.12.878498 R56-M0-N4-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131634393 2005.11.10 R22-M0-N9-C:J09-U11 2005-11-10-06.53.13.632033 R22-M0-N9-C:J09-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131634393 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.13.859002 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634394 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.14.302058 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634395 2005.11.10 R22-M0-N4-C:J10-U01 2005-11-10-06.53.15.534156 R22-M0-N4-C:J10-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131634395 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.15.756772 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634395 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.53.15.863669 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 3 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected
- 1131634395 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.53.15.965156 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 7 torus receiver z- input pipe error(s) (dcr 0x02f1) detected and corrected
- 1131634397 2005.11.10 R71-M1-N8-C:J17-U11 2005-11-10-06.53.17.252423 R71-M1-N8-C:J17-U11 RAS KERNEL INFO total of 2 ddr error(s) detected and corrected
- 1131634398 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.18.065300 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634398 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.18.394317 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634399 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.19.574140 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634399 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.53.19.675297 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 22 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected
- 1131634399 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.53.19.770612 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 24 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131634401 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.21.105059 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634401 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.21.543200 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634402 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.22.241910 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634402 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-06.53.22.343951 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 24 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131634403 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.23.391170 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634403 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.23.701938 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634404 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.24.336124 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634405 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.25.359959 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634405 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.25.564084 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634406 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.26.065699 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634406 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.26.957291 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634407 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.27.172657 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634407 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.27.652935 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634408 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.28.395351 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634408 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.28.629578 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634408 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.28.975474 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634409 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.29.573791 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634409 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.29.777465 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634410 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.30.082421 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634410 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.30.668749 R13-M1-N2-C:J07-U01 RAS KERNEL INFO CE sym 15, at 0x03efaea0, mask 0x40
- 1131634410 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.30.896466 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634411 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.31.123727 R05-M1-N8-C:J14-U01 RAS KERNEL INFO CE sym 33, at 0x019ae900, mask 0x10
- 1131634411 2005.11.10 R13-M1-N2-C:J07-U01 2005-11-10-06.53.31.740141 R13-M1-N2-C:J07-U01 RAS KERNEL INFO total of 10 ddr error(s) detected and corrected
- 1131634411 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.31.977752 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634412 2005.11.10 R05-M1-N8-C:J14-U01 2005-11-10-06.53.32.206487 R05-M1-N8-C:J14-U01 RAS KERNEL INFO total of 10 ddr error(s) detected and corrected
- 1131634412 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.32.733728 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634413 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.33.368627 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634414 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.34.053105 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634414 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.34.685080 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634415 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.35.296153 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634415 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.35.774734 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634416 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.36.249303 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634416 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.36.726128 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634417 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.37.103067 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634417 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.37.474170 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634417 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.37.850637 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634418 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.38.224000 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634418 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.38.507009 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634418 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.38.769905 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634419 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.39.019575 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634419 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.39.271017 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634419 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.39.586090 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634419 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.39.845088 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634420 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.40.096823 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634420 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.40.354119 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634420 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.40.616783 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634420 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.40.874450 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634421 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.41.131285 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634421 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.41.383482 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
- 1131634421 2005.11.10 R22-M1-N7-C:J16-U11 2005-11-10-06.53.41.640783 R22-M1-N7-C:J16-U11 RAS KERNEL INFO CE sym 23, at 0x141cd3a0, mask 0x20
