- 1131628689 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.18.09.523638 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09cc4200, mask 0x80
- 1131628750 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.10.604378 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790b20, mask 0x11
- 1131628750 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.10.693553 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ce4840, mask 0x20
- 1131628750 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.10.976513 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790ba0, mask 0x11
- 1131628751 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.11.064611 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x19ee3e40, mask 0x20
- 1131628751 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.11.334104 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790c20, mask 0x11
- 1131628751 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.11.416684 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09f04200, mask 0x80
- 1131628751 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.11.681075 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790ca0, mask 0x11
- 1131628751 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.11.763813 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ec4200, mask 0x80
- 1131628752 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.12.036341 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790d20, mask 0x11
- 1131628752 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.12.117071 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ea4200, mask 0x80
- 1131628752 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.12.381371 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790da0, mask 0x11
- 1131628752 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.12.433193 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09de4840, mask 0x20
- 1131628752 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.12.715736 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790e20, mask 0x11
- 1131628752 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.12.813034 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ce4840, mask 0x20
- 1131628753 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.13.082071 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790ea0, mask 0x11
- 1131628753 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.13.169671 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ce4200, mask 0x80
- 1131628753 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.13.433694 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790f20, mask 0x11
- 1131628753 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.13.528689 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ca4200, mask 0x80
- 1131628753 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.13.797935 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10790fa0, mask 0x11
- 1131628753 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.13.880715 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ac4200, mask 0x80
- 1131628754 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.14.157463 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791020, mask 0x11
- 1131628754 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.14.239534 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x097c4200, mask 0x80
- 1131628754 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.14.504129 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107910a0, mask 0x11
- 1131628754 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.14.586517 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ba4200, mask 0x80
- 1131628754 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.14.850545 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791120, mask 0x11
- 1131628754 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.14.934191 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x19ba3e40, mask 0x20
- 1131628755 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.15.198308 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107911a0, mask 0x11
- 1131628755 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.15.287233 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ac4200, mask 0x80
- 1131628755 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.15.545736 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791220, mask 0x11
- 1131628755 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.15.634003 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ba4200, mask 0x80
- 1131628755 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.15.910217 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107912a0, mask 0x11
- 1131628756 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.16.047162 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ca4200, mask 0x80
- 1131628756 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.16.344795 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791320, mask 0x11
- 1131628756 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.16.399786 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ce4200, mask 0x80
- 1131628756 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.16.669451 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107913a0, mask 0x11
- 1131628756 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.16.752470 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ea4200, mask 0x80
- 1131628757 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.17.035431 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791420, mask 0x11
- 1131628757 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.17.117231 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09a24200, mask 0x80
- 1131628757 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.17.394465 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107914a0, mask 0x11
- 1131628757 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.17.465229 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ac4200, mask 0x80
- 1131628757 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.17.758289 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791520, mask 0x11
- 1131628757 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.17.841009 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x19f03e40, mask 0x20
- 1131628758 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.18.099669 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107915a0, mask 0x11
- 1131628758 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.18.176870 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09d84200, mask 0x80
- 1131628758 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.18.423302 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791620, mask 0x11
- 1131628758 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.18.512458 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628758 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.18.759333 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107916a0, mask 0x11
- 1131628758 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.18.841590 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ec4200, mask 0x80
- 1131628759 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.19.100032 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791720, mask 0x11
- 1131628759 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.19.194642 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ee4200, mask 0x80
- 1131628759 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.19.480123 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107917a0, mask 0x11
- 1131628759 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.19.565746 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09f24200, mask 0x80
- 1131628759 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.19.835370 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791820, mask 0x11
- 1131628759 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.19.924473 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09fa4200, mask 0x80
- 1131628760 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.20.201187 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107918a0, mask 0x11
- 1131628760 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.20.283630 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09fc2c40, mask 0x20
- 1131628760 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.20.554729 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791920, mask 0x11
- 1131628760 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.20.642726 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09fa4200, mask 0x80
- 1131628760 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.20.906596 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107919a0, mask 0x11
- 1131628761 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.21.001794 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09f24200, mask 0x80
- 1131628761 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.21.276213 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791a20, mask 0x11
- 1131628761 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.21.360645 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x19f03e40, mask 0x20
- 1131628761 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.21.617085 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791aa0, mask 0x11
- 1131628761 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.21.713618 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ee4200, mask 0x80
- 1131628761 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.21.970643 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791b20, mask 0x11
- 1131628762 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.22.108414 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09d84200, mask 0x80
- 1131628762 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.22.389482 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791ba0, mask 0x11
- 1131628762 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.22.479333 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ac4200, mask 0x80
- 1131628762 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.22.791553 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791c20, mask 0x11
- 1131628762 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.22.889876 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x19c23e40, mask 0x20
- 1131628763 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.23.173676 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791ca0, mask 0x11
- 1131628763 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.23.267760 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628763 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.23.532234 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791d20, mask 0x11
- 1131628763 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.23.632221 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628763 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.23.903186 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791da0, mask 0x11
- 1131628763 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.23.986502 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ee4200, mask 0x80
- 1131628764 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.24.256203 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791e20, mask 0x11
- 1131628764 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.24.338367 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ee4200, mask 0x80
- 1131628764 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.24.598414 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791ea0, mask 0x11
- 1131628764 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.24.680812 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628764 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.24.944637 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791f20, mask 0x11
- 1131628765 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.25.027535 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628765 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.25.321098 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10791fa0, mask 0x11
- 1131628765 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.25.426661 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628765 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.25.710293 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10792020, mask 0x11
- 1131628765 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.25.799632 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628766 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.26.081725 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107920a0, mask 0x11
- 1131628766 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.26.180976 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09ee4200, mask 0x80
- 1131628766 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.26.456879 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10792120, mask 0x11
- 1131628766 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.26.547201 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x19f03e40, mask 0x20
- 1131628766 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.26.824419 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107921a0, mask 0x11
- 1131628766 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.26.912330 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09fa4200, mask 0x80
- 1131628767 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.27.193905 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10792220, mask 0x11
- 1131628767 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.27.299325 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628767 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.27.566009 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x107922a0, mask 0x11
- 1131628767 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.27.678027 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09fa4200, mask 0x80
- 1131628767 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.27.941309 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x10792320, mask 0x11
- 1131628768 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.28.084837 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628768 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.19.28.343094 R47-M1-N4-C:J17-U11 RAS KERNEL INFO total of 215965414 ddr error(s) detected and corrected
- 1131628768 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.28.439303 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09f24200, mask 0x80
- 1131628768 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.28.712919 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09f24200, mask 0x80
- 1131628768 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.28.958179 R05-M1-NF-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x09e04200, mask 0x80
- 1131628769 2005.11.10 R05-M1-NF-C:J09-U01 2005-11-10-05.19.29.210400 R05-M1-NF-C:J09-U01 RAS KERNEL INFO total of 6842 ddr error(s) detected and corrected
- 1131628890 2005.11.10 R56-M0-NA-C:J17-U11 2005-11-10-05.21.30.987883 R56-M0-NA-C:J17-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 486 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628891 2005.11.10 R53-M0-N1-C:J11-U01 2005-11-10-05.21.31.120189 R53-M0-N1-C:J11-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628891 2005.11.10 R26-M1-N9-C:J11-U01 2005-11-10-05.21.31.299912 R26-M1-N9-C:J11-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 476 out of 1024 #ofDirtyDblWord: 982 out of 4096
- 1131628891 2005.11.10 R47-M1-N1-C:J17-U11 2005-11-10-05.21.31.905299 R47-M1-N1-C:J17-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 476 out of 1024 #ofDirtyDblWord: 982 out of 4096
- 1131628892 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.21.32.011503 R47-M1-N4-C:J17-U11 RAS KERNEL INFO 50 ddr errors(s) detected and corrected on rank 0, symbol 27, bit 3
- 1131628892 2005.11.10 R32-M0-N9-C:J15-U01 2005-11-10-05.21.32.424051 R32-M0-N9-C:J15-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628892 2005.11.10 R65-M0-NE-C:J11-U11 2005-11-10-05.21.32.742085 R65-M0-NE-C:J11-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 476 out of 1024 #ofDirtyDblWord: 982 out of 4096
- 1131628892 2005.11.10 R62-M1-NA-C:J15-U11 2005-11-10-05.21.32.946253 R62-M1-NA-C:J15-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628893 2005.11.10 R14-M1-N4-C:J13-U01 2005-11-10-05.21.33.255256 R14-M1-N4-C:J13-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628893 2005.11.10 R02-M1-NA-C:J11-U01 2005-11-10-05.21.33.579634 R02-M1-NA-C:J11-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628893 2005.11.10 R56-M1-N4-C:J05-U01 2005-11-10-05.21.33.861556 R56-M1-N4-C:J05-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 486 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628894 2005.11.10 R20-M1-N8-C:J09-U11 2005-11-10-05.21.34.645195 R20-M1-N8-C:J09-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 476 out of 1024 #ofDirtyDblWord: 982 out of 4096
- 1131628895 2005.11.10 R74-M0-N8-C:J03-U01 2005-11-10-05.21.35.261550 R74-M0-N8-C:J03-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628895 2005.11.10 R35-M0-N3-C:J05-U11 2005-11-10-05.21.35.363948 R35-M0-N3-C:J05-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 476 out of 1024 #ofDirtyDblWord: 982 out of 4096
- 1131628895 2005.11.10 R32-M0-N7-C:J09-U11 2005-11-10-05.21.35.464515 R32-M0-N7-C:J09-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628895 2005.11.10 R17-M1-NF-C:J05-U01 2005-11-10-05.21.35.776229 R17-M1-NF-C:J05-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 486 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628895 2005.11.10 R71-M0-NF-C:J09-U01 2005-11-10-05.21.35.980132 R71-M0-NF-C:J09-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 476 out of 1024 #ofDirtyDblWord: 982 out of 4096
- 1131628896 2005.11.10 R77-M0-N1-C:J14-U01 2005-11-10-05.21.36.296216 R77-M0-N1-C:J14-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628896 2005.11.10 R26-M0-N5-C:J16-U01 2005-11-10-05.21.36.589230 R26-M0-N5-C:J16-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 476 out of 1024 #ofDirtyDblWord: 982 out of 4096
- 1131628897 2005.11.10 R62-M0-N9-C:J10-U01 2005-11-10-05.21.37.498237 R62-M0-N9-C:J10-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628897 2005.11.10 R17-M0-NA-C:J14-U01 2005-11-10-05.21.37.707612 R17-M0-NA-C:J14-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628898 2005.11.10 R71-M0-N0-C:J12-U11 2005-11-10-05.21.38.532666 R71-M0-N0-C:J12-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628899 2005.11.10 R41-M0-N0-C:J02-U01 2005-11-10-05.21.39.000696 R41-M0-N0-C:J02-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628899 2005.11.10 R23-M0-ND-C:J06-U11 2005-11-10-05.21.39.767109 R23-M0-ND-C:J06-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 476 out of 1024 #ofDirtyDblWord: 982 out of 4096
- 1131628899 2005.11.10 R32-M1-N8-C:J04-U11 2005-11-10-05.21.39.861616 R32-M1-N8-C:J04-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628899 2005.11.10 R71-M1-NB-C:J02-U01 2005-11-10-05.21.39.958283 R71-M1-NB-C:J02-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628900 2005.11.10 R17-M1-N0-C:J08-U11 2005-11-10-05.21.40.747703 R17-M1-N0-C:J08-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 487 out of 1024 #ofDirtyDblWord: 1003 out of 4096
- 1131628900 2005.11.10 R05-M1-N8-C:J04-U01 2005-11-10-05.21.40.932709 R05-M1-N8-C:J04-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 476 out of 1024 #ofDirtyDblWord: 982 out of 4096
- 1131628901 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.21.41.445071 R47-M1-N4-C:J17-U11 RAS KERNEL INFO 42 ddr errors(s) detected and corrected on rank 0, symbol 27, bit 7
