- 1141650625 2006.03.06 dn163 Mar 6 05:10:25 dn163/dn163 ntpd[2269]: synchronized to 10.100.30.250, stratum 3
- 1141651214 2006.03.06 dn572 Mar 6 05:20:14 dn572/dn572 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651217 2006.03.06 dn950 Mar 6 05:20:17 dn950/dn950 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141651218 2006.03.06 dn884 Mar 6 05:20:18 dn884/dn884 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141651221 2006.03.06 dn395 Mar 6 05:20:21 dn395/dn395 ntpd[2265]: synchronized to 10.100.24.250, stratum 3
- 1141651225 2006.03.06 dn689 Mar 6 05:20:25 dn689/dn689 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141651227 2006.03.06 dn993 Mar 6 05:20:27 dn993/dn993 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141651231 2006.03.06 dn887 Mar 6 05:20:31 dn887/dn887 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651236 2006.03.06 dn939 Mar 6 05:20:36 dn939/dn939 ntpd[2265]: synchronized to 10.100.28.250, stratum 3
- 1141651243 2006.03.06 dn828 Mar 6 05:20:43 dn828/dn828 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651244 2006.03.06 dn135 Mar 6 05:20:44 dn135/dn135 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651244 2006.03.06 dn950 Mar 6 05:20:44 dn950/dn950 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651245 2006.03.06 dn897 Mar 6 05:20:45 dn897/dn897 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1141651246 2006.03.06 dn591 Mar 6 05:20:46 dn591/dn591 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141651252 2006.03.06 dn423 Mar 6 05:20:52 dn423/dn423 ntpd[2265]: synchronized to 10.100.24.250, stratum 3
- 1141651254 2006.03.06 dn685 Mar 6 05:20:54 dn685/dn685 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141651255 2006.03.06 dn12 Mar 6 05:20:55 dn12/dn12 ntpd[2269]: synchronized to 10.100.30.250, stratum 3
- 1141651255 2006.03.06 dn715 Mar 6 05:20:55 dn715/dn715 ntpd[2265]: synchronized to 10.100.28.250, stratum 3
- 1141651255 2006.03.06 dn909 Mar 6 05:20:55 dn909/dn909 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141651259 2006.03.06 dn1020 Mar 6 05:20:59 dn1020/dn1020 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651259 2006.03.06 dn382 Mar 6 05:20:59 dn382/dn382 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1141651261 2006.03.06 dn382 Mar 6 05:21:01 dn382/dn382 ntpd[2278]: synchronized to 10.100.26.250, stratum 3
- 1141651263 2006.03.06 dn414 Mar 6 05:21:03 dn414/dn414 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141651264 2006.03.06 dn903 Mar 6 05:21:04 dn903/dn903 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1141651265 2006.03.06 dn589 Mar 6 05:21:05 dn589/dn589 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1141651267 2006.03.06 dn157 Mar 6 05:21:07 dn157/dn157 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651269 2006.03.06 dn93 Mar 6 05:21:09 dn93/dn93 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1141651269 2006.03.06 dn969 Mar 6 05:21:09 dn969/dn969 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651270 2006.03.06 dn359 Mar 6 05:21:10 dn359/dn359 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141651270 2006.03.06 dn369 Mar 6 05:21:10 dn369/dn369 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651271 2006.03.06 dn488 Mar 6 05:21:11 dn488/dn488 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651271 2006.03.06 dn953 Mar 6 05:21:11 dn953/dn953 ntpd[2262]: synchronized to 10.100.28.250, stratum 3
- 1141651272 2006.03.06 dn296 Mar 6 05:21:12 dn296/dn296 ntpd[2281]: synchronized to 10.100.28.250, stratum 3
- 1141651273 2006.03.06 dn590 Mar 6 05:21:13 dn590/dn590 ntpd[2276]: synchronized to 10.100.24.250, stratum 3
- 1141651273 2006.03.06 dn733 Mar 6 05:21:13 dn733/dn733 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651275 2006.03.06 dn549 Mar 6 05:21:15 dn549/dn549 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651283 2006.03.06 dn781 Mar 6 05:21:23 dn781/dn781 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651286 2006.03.06 dn788 Mar 6 05:21:26 dn788/dn788 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141651290 2006.03.06 dn148 Mar 6 05:21:30 dn148/dn148 ntpd[2282]: synchronized to 10.100.26.250, stratum 3
- 1141651290 2006.03.06 dn249 Mar 6 05:21:30 dn249/dn249 ntpd[2283]: synchronized to 10.100.26.250, stratum 3
- 1141651300 2006.03.06 dn784 Mar 6 05:21:40 dn784/dn784 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141651300 2006.03.06 dn990 Mar 6 05:21:40 dn990/dn990 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651301 2006.03.06 dn972 Mar 6 05:21:41 dn972/dn972 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1141651304 2006.03.06 dn662 Mar 6 05:21:44 dn662/dn662 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1141651305 2006.03.06 dn530 Mar 6 05:21:45 dn530/dn530 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651307 2006.03.06 dn156 Mar 6 05:21:47 dn156/dn156 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141651307 2006.03.06 dn781 Mar 6 05:21:47 dn781/dn781 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1141651312 2006.03.06 dn284 Mar 6 05:21:52 dn284/dn284 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1141651313 2006.03.06 dn578 Mar 6 05:21:53 dn578/dn578 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141651316 2006.03.06 dn553 Mar 6 05:21:56 dn553/dn553 ntpd[2265]: synchronized to 10.100.24.250, stratum 3
- 1141651319 2006.03.06 dn1008 Mar 6 05:21:59 dn1008/dn1008 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651320 2006.03.06 dn355 Mar 6 05:22:00 dn355/dn355 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651322 2006.03.06 dn34 Mar 6 05:22:02 dn34/dn34 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1141651324 2006.03.06 dn798 Mar 6 05:22:04 dn798/dn798 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141651325 2006.03.06 dn990 Mar 6 05:22:05 dn990/dn990 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1141651328 2006.03.06 dn567 Mar 6 05:22:08 dn567/dn567 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141651332 2006.03.06 dn695 Mar 6 05:22:12 dn695/dn695 ntpd[2276]: synchronized to 10.100.24.250, stratum 3
- 1141651334 2006.03.06 dn415 Mar 6 05:22:14 dn415/dn415 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141651336 2006.03.06 dn456 Mar 6 05:22:16 dn456/dn456 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141651339 2006.03.06 dn541 Mar 6 05:22:19 dn541/dn541 ntpd[2280]: synchronized to 10.100.24.250, stratum 3
- 1141651339 2006.03.06 dn883 Mar 6 05:22:19 dn883/dn883 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141651343 2006.03.06 dn451 Mar 6 05:22:23 dn451/dn451 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651344 2006.03.06 dn286 Mar 6 05:22:24 dn286/dn286 ntpd[2280]: synchronized to 10.100.28.250, stratum 3
- 1141651345 2006.03.06 dn366 Mar 6 05:22:25 dn366/dn366 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651346 2006.03.06 dn397 Mar 6 05:22:26 dn397/dn397 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651349 2006.03.06 dn422 Mar 6 05:22:29 dn422/dn422 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651350 2006.03.06 dn684 Mar 6 05:22:30 dn684/dn684 ntpd[2262]: synchronized to 10.100.28.250, stratum 3
- 1141651350 2006.03.06 dn801 Mar 6 05:22:30 dn801/dn801 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1141651350 2006.03.06 dn819 Mar 6 05:22:30 dn819/dn819 ntpd[2278]: synchronized to 10.100.24.250, stratum 3
- 1141651350 2006.03.06 dn87 Mar 6 05:22:30 dn87/dn87 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141651350 2006.03.06 dn919 Mar 6 05:22:30 dn919/dn919 ntpd[2264]: synchronized to 10.100.28.250, stratum 3
- 1141651351 2006.03.06 dn651 Mar 6 05:22:31 dn651/dn651 ntpd[2264]: synchronized to 10.100.30.250, stratum 3
- 1141651352 2006.03.06 dn13 Mar 6 05:22:32 dn13/dn13 ntpd[2268]: synchronized to 10.100.26.250, stratum 3
- 1141651352 2006.03.06 dn182 Mar 6 05:22:32 dn182/dn182 ntpd[2269]: synchronized to 10.100.26.250, stratum 3
- 1141651360 2006.03.06 dn651 Mar 6 05:22:40 dn651/dn651 ntpd[2264]: synchronized to 10.100.28.250, stratum 3
- 1141651365 2006.03.06 dn711 Mar 6 05:22:45 dn711/dn711 ntpd[2274]: synchronized to 10.100.26.250, stratum 3
- 1141651369 2006.03.06 dn472 Mar 6 05:22:49 dn472/dn472 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1141651372 2006.03.06 dn811 Mar 6 05:22:52 dn811/dn811 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651374 2006.03.06 dn286 Mar 6 05:22:54 dn286/dn286 ntpd[2280]: synchronized to 10.100.26.250, stratum 3
- 1141651376 2006.03.06 dn335 Mar 6 05:22:56 dn335/dn335 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1141651376 2006.03.06 dn401 Mar 6 05:22:56 dn401/dn401 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651376 2006.03.06 dn990 Mar 6 05:22:56 dn990/dn990 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651380 2006.03.06 dn509 Mar 6 05:23:00 dn509/dn509 ntpd[2276]: synchronized to 10.100.24.250, stratum 3
- 1141651381 2006.03.06 dn936 Mar 6 05:23:01 dn936/dn936 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141651382 2006.03.06 dn293 Mar 6 05:23:02 dn293/dn293 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1141651385 2006.03.06 dn1002 Mar 6 05:23:05 dn1002/dn1002 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1141651389 2006.03.06 dn755 Mar 6 05:23:09 dn755/dn755 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141651391 2006.03.06 dn396 Mar 6 05:23:11 dn396/dn396 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141651392 2006.03.06 dn518 Mar 6 05:23:12 dn518/dn518 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651395 2006.03.06 dn335 Mar 6 05:23:15 dn335/dn335 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141651399 2006.03.06 dn702 Mar 6 05:23:19 dn702/dn702 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141651399 2006.03.06 dn868 Mar 6 05:23:19 dn868/dn868 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1141651400 2006.03.06 dn642 Mar 6 05:23:20 dn642/dn642 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1141651401 2006.03.06 dn901 Mar 6 05:23:21 dn901/dn901 ntpd[2095]: synchronized to 10.100.24.250, stratum 3
- 1141651404 2006.03.06 dn761 Mar 6 05:23:24 dn761/dn761 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141651406 2006.03.06 dn997 Mar 6 05:23:26 dn997/dn997 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141651407 2006.03.06 dn591 Mar 6 05:23:27 dn591/dn591 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141651409 2006.03.06 dn709 Mar 6 05:23:29 dn709/dn709 ntpd[2265]: synchronized to 10.100.26.250, stratum 3
- 1141651412 2006.03.06 dn419 Mar 6 05:23:32 dn419/dn419 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651413 2006.03.06 dn693 Mar 6 05:23:33 dn693/dn693 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1141651415 2006.03.06 dn578 Mar 6 05:23:35 dn578/dn578 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651415 2006.03.06 dn966 Mar 6 05:23:35 dn966/dn966 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141651419 2006.03.06 dn619 Mar 6 05:23:39 dn619/dn619 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141651422 2006.03.06 dn849 Mar 6 05:23:42 dn849/dn849 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651423 2006.03.06 dn549 Mar 6 05:23:43 dn549/dn549 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651425 2006.03.06 dn555 Mar 6 05:23:45 dn555/dn555 ntpd[2265]: synchronized to 10.100.28.250, stratum 3
- 1141651425 2006.03.06 dn6 Mar 6 05:23:45 dn6/dn6 ntpd[2281]: synchronized to 10.100.24.250, stratum 3
- 1141651429 2006.03.06 dn735 Mar 6 05:23:49 dn735/dn735 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651431 2006.03.06 dn899 Mar 6 05:23:51 dn899/dn899 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651432 2006.03.06 dn265 Mar 6 05:23:52 dn265/dn265 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141651435 2006.03.06 dn479 Mar 6 05:23:55 dn479/dn479 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651435 2006.03.06 dn822 Mar 6 05:23:55 dn822/dn822 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob.c[2353]: XHH_hob_query: Device in FATAL state
- 1141651436 2006.03.06 dn50 Mar 6 05:23:56 dn50/dn50 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1141651438 2006.03.06 dn642 Mar 6 05:23:58 dn642/dn642 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1141651446 2006.03.06 dn874 Mar 6 05:24:06 dn874/dn874 ntpd[2265]: synchronized to 10.100.24.250, stratum 3
- 1141651448 2006.03.06 dn917 Mar 6 05:24:08 dn917/dn917 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1141651449 2006.03.06 dn194 Mar 6 05:24:09 dn194/dn194 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1141651456 2006.03.06 dn300 Mar 6 05:24:16 dn300/dn300 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141651456 2006.03.06 dn425 Mar 6 05:24:16 dn425/dn425 ntpd[2280]: synchronized to 10.100.24.250, stratum 3
- 1141651460 2006.03.06 dn702 Mar 6 05:24:20 dn702/dn702 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141651463 2006.03.06 dn761 Mar 6 05:24:23 dn761/dn761 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141651464 2006.03.06 dn557 Mar 6 05:24:24 dn557/dn557 ntpd[2265]: synchronized to 10.100.24.250, stratum 3
- 1141651465 2006.03.06 dn406 Mar 6 05:24:25 dn406/dn406 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651467 2006.03.06 dn410 Mar 6 05:24:27 dn410/dn410 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1141651471 2006.03.06 dn196 Mar 6 05:24:31 dn196/dn196 ntpd[2280]: synchronized to 10.100.26.250, stratum 3
- 1141651471 2006.03.06 dn430 Mar 6 05:24:31 dn430/dn430 ntpd[2264]: synchronized to 10.100.30.250, stratum 3
- 1141651473 2006.03.06 dn863 Mar 6 05:24:33 dn863/dn863 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651476 2006.03.06 dn910 Mar 6 05:24:36 dn910/dn910 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141651477 2006.03.06 dn539 Mar 6 05:24:37 dn539/dn539 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141651479 2006.03.06 dn324 Mar 6 05:24:39 dn324/dn324 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651481 2006.03.06 dn828 Mar 6 05:24:41 dn828/dn828 ntpd[2277]: synchronized to 10.100.26.250, stratum 3
- 1141651482 2006.03.06 dn880 Mar 6 05:24:42 dn880/dn880 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141651485 2006.03.06 dn562 Mar 6 05:24:45 dn562/dn562 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651488 2006.03.06 dn539 Mar 6 05:24:48 dn539/dn539 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651493 2006.03.06 dn312 Mar 6 05:24:53 dn312/dn312 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1141651493 2006.03.06 dn658 Mar 6 05:24:53 dn658/dn658 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1141651493 2006.03.06 dn852 Mar 6 05:24:53 dn852/dn852 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141651494 2006.03.06 dn10 Mar 6 05:24:54 dn10/dn10 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1141651494 2006.03.06 dn113 Mar 6 05:24:54 dn113/dn113 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141651495 2006.03.06 dn799 Mar 6 05:24:55 dn799/dn799 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141651496 2006.03.06 dn120 Mar 6 05:24:56 dn120/dn120 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1141651496 2006.03.06 dn359 Mar 6 05:24:56 dn359/dn359 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651500 2006.03.06 dn444 Mar 6 05:25:00 dn444/dn444 ntpd[2278]: synchronized to 10.100.26.250, stratum 3
- 1141651501 2006.03.06 dn586 Mar 6 05:25:01 dn586/dn586 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1141651503 2006.03.06 dn577 Mar 6 05:25:03 dn577/dn577 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651504 2006.03.06 dn113 Mar 6 05:25:04 dn113/dn113 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1141651505 2006.03.06 dn252 Mar 6 05:25:05 dn252/dn252 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1141651505 2006.03.06 dn484 Mar 6 05:25:05 dn484/dn484 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651506 2006.03.06 dn865 Mar 6 05:25:06 dn865/dn865 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1141651507 2006.03.06 dn432 Mar 6 05:25:07 dn432/dn432 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651510 2006.03.06 dn767 Mar 6 05:25:10 dn767/dn767 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141651512 2006.03.06 dn968 Mar 6 05:25:12 dn968/dn968 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1141651516 2006.03.06 dn984 Mar 6 05:25:16 dn984/dn984 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651517 2006.03.06 dn561 Mar 6 05:25:17 dn561/dn561 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651517 2006.03.06 dn639 Mar 6 05:25:17 dn639/dn639 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651519 2006.03.06 dn450 Mar 6 05:25:19 dn450/dn450 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1141651520 2006.03.06 dn773 Mar 6 05:25:20 dn773/dn773 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1141651521 2006.03.06 dn433 Mar 6 05:25:21 dn433/dn433 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141651523 2006.03.06 dn457 Mar 6 05:25:23 dn457/dn457 ntpd[2264]: synchronized to 10.100.30.250, stratum 3
- 1141651524 2006.03.06 dn556 Mar 6 05:25:24 dn556/dn556 ntpd[2266]: synchronized to 10.100.28.250, stratum 3
- 1141651528 2006.03.06 dn448 Mar 6 05:25:28 dn448/dn448 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651530 2006.03.06 dn667 Mar 6 05:25:30 dn667/dn667 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141651534 2006.03.06 dn952 Mar 6 05:25:34 dn952/dn952 ntpd[2262]: synchronized to 10.100.26.250, stratum 3
- 1141651538 2006.03.06 dn815 Mar 6 05:25:38 dn815/dn815 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1141651539 2006.03.06 dn593 Mar 6 05:25:39 dn593/dn593 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141651541 2006.03.06 dn145 Mar 6 05:25:41 dn145/dn145 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141651542 2006.03.06 dn956 Mar 6 05:25:42 dn956/dn956 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141651544 2006.03.06 dn577 Mar 6 05:25:44 dn577/dn577 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651544 2006.03.06 dn636 Mar 6 05:25:44 dn636/dn636 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1141651547 2006.03.06 dn561 Mar 6 05:25:47 dn561/dn561 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651549 2006.03.06 dn156 Mar 6 05:25:49 dn156/dn156 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651551 2006.03.06 dn349 Mar 6 05:25:51 dn349/dn349 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651554 2006.03.06 dn678 Mar 6 05:25:54 dn678/dn678 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141651563 2006.03.06 dn768 Mar 6 05:26:03 dn768/dn768 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1141651565 2006.03.06 dn188 Mar 6 05:26:05 dn188/dn188 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651568 2006.03.06 dn458 Mar 6 05:26:08 dn458/dn458 ntpd[2276]: synchronized to 10.100.24.250, stratum 3
- 1141651570 2006.03.06 dn237 Mar 6 05:26:10 dn237/dn237 ntpd[2270]: synchronized to 10.100.30.250, stratum 3
- 1141651570 2006.03.06 dn821 Mar 6 05:26:10 dn821/dn821 ntpd[2274]: synchronized to 10.100.26.250, stratum 3
- 1141651575 2006.03.06 dn428 Mar 6 05:26:15 dn428/dn428 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651577 2006.03.06 dn234 Mar 6 05:26:17 dn234/dn234 ntpd[2268]: synchronized to 10.100.24.250, stratum 3
- 1141651578 2006.03.06 dn935 Mar 6 05:26:18 dn935/dn935 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141651579 2006.03.06 dn34 Mar 6 05:26:19 dn34/dn34 ntpd[2268]: synchronized to 10.100.24.250, stratum 3
- 1141651579 2006.03.06 dn595 Mar 6 05:26:19 dn595/dn595 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1141651580 2006.03.06 dn90 Mar 6 05:26:20 dn90/dn90 ntpd[2269]: synchronized to 10.100.30.250, stratum 3
- 1141651588 2006.03.06 dn215 Mar 6 05:26:28 dn215/dn215 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1141651595 2006.03.06 dn772 Mar 6 05:26:35 dn772/dn772 ntpd[2266]: synchronized to 10.100.24.250, stratum 3
- 1141651597 2006.03.06 dn627 Mar 6 05:26:37 dn627/dn627 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651598 2006.03.06 dn760 Mar 6 05:26:38 dn760/dn760 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141651603 2006.03.06 dn275 Mar 6 05:26:43 dn275/dn275 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1141651604 2006.03.06 dn478 Mar 6 05:26:44 dn478/dn478 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1141651604 2006.03.06 dn634 Mar 6 05:26:44 dn634/dn634 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651608 2006.03.06 dn481 Mar 6 05:26:48 dn481/dn481 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651608 2006.03.06 dn544 Mar 6 05:26:48 dn544/dn544 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1141651609 2006.03.06 dn1010 Mar 6 05:26:49 dn1010/dn1010 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141651609 2006.03.06 dn940 Mar 6 05:26:49 dn940/dn940 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141651610 2006.03.06 dn839 Mar 6 05:26:50 dn839/dn839 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651612 2006.03.06 dn851 Mar 6 05:26:52 dn851/dn851 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1141651612 2006.03.06 dn976 Mar 6 05:26:52 dn976/dn976 ntpd[2267]: synchronized to 10.100.26.250, stratum 3
- 1141651613 2006.03.06 dn785 Mar 6 05:26:53 dn785/dn785 ntpd[2265]: synchronized to 10.100.30.250, stratum 3
- 1141651615 2006.03.06 dn519 Mar 6 05:26:55 dn519/dn519 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141651618 2006.03.06 dn742 Mar 6 05:26:58 dn742/dn742 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141651620 2006.03.06 dn314 Mar 6 05:27:00 dn314/dn314 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1141651622 2006.03.06 dn1005 Mar 6 05:27:02 dn1005/dn1005 ntpd[2265]: synchronized to 10.100.26.250, stratum 3
- 1141651622 2006.03.06 dn585 Mar 6 05:27:02 dn585/dn585 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651623 2006.03.06 dn838 Mar 6 05:27:03 dn838/dn838 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1141651625 2006.03.06 dn387 Mar 6 05:27:05 dn387/dn387 ntpd[2265]: synchronized to 10.100.30.250, stratum 3
- 1141651627 2006.03.06 dn490 Mar 6 05:27:07 dn490/dn490 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
