1131209516 2005.11.05 R60-M1-N0-C:J13-U11 2005-11-05-08.51.56.046741 R60-M1-N0-C:J13-U11 RAS KERNEL INFO CE sym 23, at 0x12312820, mask 0x80
1131258472 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.27.52.394654 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131258581 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.29.41.601577 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131258663 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.31.03.211252 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131258716 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.31.56.717744 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131258722 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.32.02.094207 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131258904 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.35.04.426244 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131258931 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.35.31.852360 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131258936 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.35.36.221476 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131259539 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.45.39.877792 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131259553 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.45.53.275432 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131259778 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.49.38.292472 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131259885 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.51.25.957737 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131260173 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.56.13.699584 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131260344 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-22.59.04.606461 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131260400 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.00.00.139822 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131260515 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.01.55.812733 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131260878 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.07.58.733942 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131260883 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.08.03.093396 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131260894 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.08.14.992708 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131260966 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.09.26.064301 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131261013 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.10.13.575735 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131261023 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.10.23.954694 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131261124 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.12.04.108168 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131261232 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.13.52.297221 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131261348 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.15.48.529687 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131261475 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.17.55.742854 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131261601 2005.11.05 R57-M0-NC-C:J04-U01 2005-11-05-23.20.01.032786 R57-M0-NC-C:J04-U01 RAS KERNEL INFO ddr: Unable to steer rank=0, symbol=21 - rank is already steering symbol 255. Due to multiple symbols being over the correctable error threshold, consider replacing the card
1131262265 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.31.05.927623 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131262347 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.32.27.592803 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131262516 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.35.16.425072 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131262529 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.35.29.815736 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131263491 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.51.31.074831 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131263621 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.53.41.388445 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131263625 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.53.45.778114 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131263799 2005.11.05 R63-M0-N3-C:J02-U11 2005-11-05-23.56.39.669983 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131264138 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.02.18.860235 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131264367 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.06.07.458162 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131265054 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.17.34.394617 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131265164 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.19.24.115741 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131265677 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.27.57.027239 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131265847 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.30.47.393412 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131266312 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.38.32.191127 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131266325 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.38.45.590774 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131266793 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.46.33.414419 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131266927 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.48.47.161128 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131267151 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.52.31.674218 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131267222 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.53.42.780577 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131267306 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-00.55.06.912740 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131267648 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.00.48.279932 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131267773 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.02.53.518249 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131267810 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.03.30.979443 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131267936 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.05.36.260690 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131268083 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.08.03.100205 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131268137 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.08.57.656983 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131268163 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.09.23.601423 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131268173 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.09.33.492444 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131268612 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.16.52.779160 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131268686 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.18.06.839031 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131268763 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.19.23.415793 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131268904 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.21.44.639993 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131268950 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.22.30.130786 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131269464 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.31.04.987907 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131269532 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.32.12.578727 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131269659 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.34.19.798734 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131269932 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.38.52.018852 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131269953 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.39.13.433879 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131270062 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.41.02.647697 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131270074 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.41.14.550388 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131270116 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.41.56.544719 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131270183 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.43.03.613903 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131270236 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.43.56.630530 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131270250 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.44.10.008175 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131270304 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-01.45.04.586161 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131271399 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.03.19.865193 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131271481 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.04.41.458748 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272053 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.14.13.020425 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272064 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.14.24.899963 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272083 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.14.43.816531 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272246 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.17.26.219728 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272270 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.17.50.651622 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272296 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.18.16.100840 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272322 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.18.42.035331 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272326 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.18.46.399916 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272492 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.21.32.756720 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272595 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.23.15.482186 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131272651 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.24.11.052193 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131273120 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.32.00.833682 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131273134 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.32.14.230080 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131273679 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.41.19.277427 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131273726 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.42.06.743750 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131274052 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.47.32.609074 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131274159 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.49.19.278062 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131274190 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.49.50.765885 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131274299 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.51.39.955325 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131274329 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.52.09.918534 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131274610 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-02.56.50.133296 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131274846 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.00.46.682671 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131275187 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.06.27.067771 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131275358 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.09.18.937602 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131275408 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.10.08.412206 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131275519 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.11.59.079633 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131275676 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.14.36.395164 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131275711 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.15.11.822822 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131275879 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.17.59.748232 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131275893 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.18.13.155068 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131276005 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.20.05.347640 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131276058 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.20.58.866409 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131276171 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.22.51.555583 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131276314 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.25.14.911058 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131276950 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.35.50.191903 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131277116 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.38.36.960297 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131277314 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.41.54.485712 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131277335 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.42.15.405684 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131277413 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.43.33.033358 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131277816 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.50.16.101023 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131277846 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.50.46.030957 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278011 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.53.31.847324 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278033 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.53.53.250185 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278064 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.54.24.724246 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278089 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.54.49.160232 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278247 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.57.27.521859 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278251 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.57.31.886890 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278359 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-03.59.19.538444 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278527 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-04.02.07.362962 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278575 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-04.02.55.857855 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131278749 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-04.05.49.833805 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131279385 2005.11.06 R63-M1-NA-C:J02-U01 2005-11-06-04.16.25.203571 R63-M1-NA-C:J02-U01 RAS KERNEL INFO instruction cache parity error corrected
1131279786 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-04.23.06.267980 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131279805 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-04.23.25.176575 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131279825 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-04.23.45.596297 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131279829 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-04.23.49.973411 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131280111 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-04.28.31.736818 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131280149 2005.11.06 R63-M0-N3-C:J02-U11 2005-11-06-04.29.09.236886 R63-M0-N3-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
1131280295 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.35.217044 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL machine check interrupt (bit=0x1d): L2 dcache unit data parity error
1131280295 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.35.490364 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL instruction address: 0x001324b0
1131280295 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.35.797075 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL machine check status register: 0x91800000
1131280296 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.36.118157 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL summary...........................1
1131280296 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.36.419656 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL instruction plb error.............0
1131280296 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.36.733551 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL data read plb error...............0
1131280297 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.37.100650 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL data write plb error..............1
1131280297 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.37.404434 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL tlb error.........................0
1131280297 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.37.717375 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL i-cache parity error..............0
1131280298 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.38.022477 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL d-cache search parity error.......0
1131280298 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.38.328722 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL d-cache flush parity error........1
1131280298 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.38.631465 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL imprecise machine check...........1
1131280298 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.38.939007 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL machine state register: 0x0002f900
1131280299 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.39.249859 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL wait state enable.................0
1131280299 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.39.556629 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL critical input interrupt enable...1
1131280299 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.39.861351 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL external input interrupt enable...1
1131280300 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.40.192766 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL problem state (0=sup,1=usr).......1
1131280300 2005.11.06 R30-M1-N2-C:J13-U01 2005-11-06-04.31.40.891952 R30-M1-N2-C:J13-U01 RAS KERNEL INFO 9 ddr errors(s) detected and corrected on rank 0, symbol 34, bit 1
1131280301 2005.11.06 R63-M1-N7-C:J10-U01 2005-11-06-04.31.41.109941 R63-M1-N7-C:J10-U01 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 22, bit 2
1131280301 2005.11.06 R21-M0-N4-C:J14-U01 2005-11-06-04.31.41.511459 R21-M0-N4-C:J14-U01 RAS KERNEL FATAL floating point instr. enabled.....1
1131280302 2005.11.06 R75-M1-NE-C:J09-U11 2005-11-06-04.31.42.372739 R75-M1-NE-C:J09-U11 RAS KERNEL INFO 1 torus sender y- retransmission error(s) (dcr 0x02f7) detected and corrected
1131280302 2005.11.06 R75-M1-NE-C:J07-U01 2005-11-06-04.31.42.476922 R75-M1-NE-C:J07-U01 RAS KERNEL INFO 1 torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected
1131280302 2005.11.06 R75-M1-NE-C:J09-U01 2005-11-06-04.31.42.581847 R75-M1-NE-C:J09-U01 RAS KERNEL INFO 1 torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected
1131280302 2005.11.06 R75-M1-NE-C:J08-U11 2005-11-06-04.31.42.697114 R75-M1-NE-C:J08-U11 RAS KERNEL INFO 1 torus sender y+ retransmission error(s) (dcr 0x02f6) detected and corrected
1131280303 2005.11.06 R21-M0-N1-C:J13-U01 2005-11-06-04.31.43.437654 R21-M0-N1-C:J13-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 13, bit 6
1131280303 2005.11.06 R51-M0-N6-C:J17-U01 2005-11-06-04.31.43.669117 R51-M0-N6-C:J17-U01 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 27, bit 3
1131280303 2005.11.06 R30-M1-N2-C:J13-U01 2005-11-06-04.31.43.899554 R30-M1-N2-C:J13-U01 RAS KERNEL INFO CE sym 34, at 0x1f00f380, mask 0x40
