1131209515 2005.11.05 R04-M1-NF-C:J07-U11 2005-11-05-08.51.55.770249 R04-M1-NF-C:J07-U11 RAS KERNEL INFO CE sym 18, at 0x127c4900, mask 0x08
1131239753 2005.11.05 R70-M1-N1-C:J06-U11 2005-11-05-17.15.53.011552 R70-M1-N1-C:J06-U11 RAS KERNEL INFO CE sym 20, at 0x0634c180, mask 0x01
1131239753 2005.11.05 R70-M1-N1-C:J06-U11 2005-11-05-17.15.53.249693 R70-M1-N1-C:J06-U11 RAS KERNEL INFO total of 4426 ddr error(s) detected and corrected
1131241063 2005.11.05 R55-M1-N7-C:J14-U11 2005-11-05-17.37.43.650869 R55-M1-N7-C:J14-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 20, bit 5
1131241063 2005.11.05 R73-M1-N1-C:J16-U11 2005-11-05-17.37.43.747950 R73-M1-N1-C:J16-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 2, bit 1
1131241064 2005.11.05 R55-M1-N7-C:J14-U11 2005-11-05-17.37.44.383707 R55-M1-N7-C:J14-U11 RAS KERNEL INFO CE sym 20, at 0x0a1b4e80, mask 0x04
1131241064 2005.11.05 R73-M1-N1-C:J16-U11 2005-11-05-17.37.44.497029 R73-M1-N1-C:J16-U11 RAS KERNEL INFO CE sym 2, at 0x00130980, mask 0x40
1131241065 2005.11.05 R55-M1-N7-C:J14-U11 2005-11-05-17.37.45.155171 R55-M1-N7-C:J14-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131241065 2005.11.05 R73-M1-N1-C:J16-U11 2005-11-05-17.37.45.256453 R73-M1-N1-C:J16-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131263926 2005.11.05 R40-M0-NA-C:J05-U01 2005-11-05-23.58.46.474718 R40-M0-NA-C:J05-U01 RAS KERNEL INFO ddr: activating redundant bit steering for next allocation: rank=0 symbol=21
1131277008 2005.11.06 R40-M0-NA-C:J05-U01 2005-11-06-03.36.48.260569 R40-M0-NA-C:J05-U01 RAS KERNEL INFO ddr: Unable to steer rank=0, symbol=21 - rank is already steering symbol 255. Due to multiple symbols being over the correctable error threshold, consider replacing the card
1131278406 2005.11.06 R67-M1-N7-C:J06-U11 2005-11-06-04.00.06.058976 R67-M1-N7-C:J06-U11 RAS KERNEL INFO instruction cache parity error corrected
1131280302 2005.11.06 R55-M0-N9-C:J08-U11 2005-11-06-04.31.42.103011 R55-M0-N9-C:J08-U11 RAS KERNEL INFO 1 torus sender z+ retransmission error(s) (dcr 0x02f8) detected and corrected
1131280302 2005.11.06 R55-M0-N9-C:J06-U11 2005-11-06-04.31.42.267972 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 5 torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected
1131280303 2005.11.06 R25-M0-NB-C:J11-U01 2005-11-06-04.31.43.786230 R25-M0-NB-C:J11-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 10, bit 6
1131280304 2005.11.06 R04-M1-N8-C:J17-U11 2005-11-06-04.31.44.632309 R04-M1-N8-C:J17-U11 RAS KERNEL INFO 6 L3 EDRAM error(s) (dcr 0x0157) detected and corrected
1131280305 2005.11.06 R73-M0-ND-C:J15-U11 2005-11-06-04.31.45.144645 R73-M0-ND-C:J15-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 29, bit 2
1131280305 2005.11.06 R55-M1-ND-C:J07-U11 2005-11-06-04.31.45.400546 R55-M1-ND-C:J07-U11 RAS KERNEL INFO 2 L3 EDRAM error(s) (dcr 0x0157) detected and corrected
1131280305 2005.11.06 R40-M0-NA-C:J05-U01 2005-11-06-04.31.45.494229 R40-M0-NA-C:J05-U01 RAS KERNEL INFO 68 ddr errors(s) detected and corrected on rank 0, symbol 21, bit 2
1131280305 2005.11.06 R34-M1-N0-C:J09-U01 2005-11-06-04.31.45.833988 R34-M1-N0-C:J09-U01 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 19, bit 3
1131280306 2005.11.06 R76-M1-NE-C:J03-U11 2005-11-06-04.31.46.154029 R76-M1-NE-C:J03-U11 RAS KERNEL INFO 1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
1131280306 2005.11.06 R76-M1-N3-C:J09-U11 2005-11-06-04.31.46.265550 R76-M1-N3-C:J09-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 11, bit 3
1131280306 2005.11.06 R04-M0-N2-C:J07-U01 2005-11-06-04.31.46.835489 R04-M0-N2-C:J07-U01 RAS KERNEL INFO 4 ddr errors(s) detected and corrected on rank 0, symbol 31, bit 1
1131280307 2005.11.06 R07-M0-N1-C:J05-U11 2005-11-06-04.31.47.124675 R07-M0-N1-C:J05-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 4, bit 0
1131280307 2005.11.06 R07-M1-N2-C:J03-U01 2005-11-06-04.31.47.252488 R07-M1-N2-C:J03-U01 RAS KERNEL INFO 8 ddr errors(s) detected and corrected on rank 0, symbol 34, bit 1
1131280307 2005.11.06 R55-M1-N7-C:J14-U11 2005-11-06-04.31.47.361618 R55-M1-N7-C:J14-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 20, bit 5
1131280308 2005.11.06 R13-M0-NE-C:J14-U01 2005-11-06-04.31.48.048234 R13-M0-NE-C:J14-U01 RAS KERNEL INFO 3 ddr errors(s) detected and corrected on rank 0, symbol 23, bit 3
1131280309 2005.11.06 R34-M1-N8-C:J16-U11 2005-11-06-04.31.49.580061 R34-M1-N8-C:J16-U11 RAS KERNEL INFO 1 L3 directory error(s) (dcr 0x0152) detected and corrected
1131280309 2005.11.06 R25-M1-N4-C:J12-U01 2005-11-06-04.31.49.712121 R25-M1-N4-C:J12-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 2
1131280311 2005.11.06 R64-M0-N0-C:J03-U01 2005-11-06-04.31.51.647216 R64-M0-N0-C:J03-U01 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 19, bit 3
1131280312 2005.11.06 R55-M0-N9-C:J06-U11 2005-11-06-04.31.52.149323 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 2 torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected
1131280312 2005.11.06 R34-M0-N7-C:J04-U11 2005-11-06-04.31.52.445726 R34-M0-N7-C:J04-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 4, bit 1
1131280312 2005.11.06 R10-M0-NE-C:J02-U11 2005-11-06-04.31.52.725916 R10-M0-NE-C:J02-U11 RAS KERNEL INFO 5 ddr errors(s) detected and corrected on rank 0, symbol 34, bit 1
1131280315 2005.11.06 R25-M0-NB-C:J11-U01 2005-11-06-04.31.55.112893 R25-M0-NB-C:J11-U01 RAS KERNEL INFO CE sym 10, at 0x1f6068e0, mask 0x02
1131280316 2005.11.06 R73-M0-ND-C:J15-U11 2005-11-06-04.31.56.079120 R73-M0-ND-C:J15-U11 RAS KERNEL INFO CE sym 29, at 0x1ca65060, mask 0x20
1131280316 2005.11.06 R40-M0-NA-C:J05-U01 2005-11-06-04.31.56.276652 R40-M0-NA-C:J05-U01 RAS KERNEL INFO CE sym 21, at 0x1a6cf700, mask 0x20
1131280316 2005.11.06 R76-M1-N3-C:J09-U11 2005-11-06-04.31.56.964401 R76-M1-N3-C:J09-U11 RAS KERNEL INFO CE sym 11, at 0x1c68a8c0, mask 0x10
1131280317 2005.11.06 R04-M0-N2-C:J07-U01 2005-11-06-04.31.57.167755 R04-M0-N2-C:J07-U01 RAS KERNEL INFO CE sym 31, at 0x1e988640, mask 0x40
1131280317 2005.11.06 R07-M0-N1-C:J05-U11 2005-11-06-04.31.57.270182 R07-M0-N1-C:J05-U11 RAS KERNEL INFO CE sym 4, at 0x054d2be0, mask 0x80
1131280317 2005.11.06 R07-M1-N2-C:J03-U01 2005-11-06-04.31.57.371740 R07-M1-N2-C:J03-U01 RAS KERNEL INFO CE sym 34, at 0x19aa8760, mask 0x40
1131280317 2005.11.06 R55-M1-N7-C:J14-U11 2005-11-06-04.31.57.473234 R55-M1-N7-C:J14-U11 RAS KERNEL INFO CE sym 20, at 0x0a1b4e80, mask 0x04
1131280318 2005.11.06 R13-M0-NE-C:J14-U01 2005-11-06-04.31.58.096026 R13-M0-NE-C:J14-U01 RAS KERNEL INFO CE sym 23, at 0x1df729e0, mask 0x10
1131280321 2005.11.06 R25-M1-N4-C:J12-U01 2005-11-06-04.32.01.738900 R25-M1-N4-C:J12-U01 RAS KERNEL INFO CE sym 25, at 0x1a277240, mask 0x20
1131280327 2005.11.06 R34-M1-N0-C:J09-U01 2005-11-06-04.32.07.069958 R34-M1-N0-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x1cde9b00, mask 0x10
1131280327 2005.11.06 R64-M0-N0-C:J03-U01 2005-11-06-04.32.07.226588 R64-M0-N0-C:J03-U01 RAS KERNEL INFO CE sym 19, at 0x1afa9460, mask 0x10
1131280327 2005.11.06 R55-M0-N9-C:J06-U11 2005-11-06-04.32.07.555767 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 6 torus receiver z- input pipe error(s) (dcr 0x02f1) detected and corrected
1131280327 2005.11.06 R34-M0-N7-C:J04-U11 2005-11-06-04.32.07.643152 R34-M0-N7-C:J04-U11 RAS KERNEL INFO CE sym 4, at 0x197f85c0, mask 0x40
1131280327 2005.11.06 R10-M0-NE-C:J02-U11 2005-11-06-04.32.07.807346 R10-M0-NE-C:J02-U11 RAS KERNEL INFO CE sym 34, at 0x1a164360, mask 0x40
1131280329 2005.11.06 R25-M0-NB-C:J11-U01 2005-11-06-04.32.09.728057 R25-M0-NB-C:J11-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131280330 2005.11.06 R73-M0-ND-C:J15-U11 2005-11-06-04.32.10.503197 R73-M0-ND-C:J15-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131280330 2005.11.06 R40-M0-NA-C:J05-U01 2005-11-06-04.32.10.680144 R40-M0-NA-C:J05-U01 RAS KERNEL INFO CE sym 21, at 0x1a6cf700, mask 0x20
1131280331 2005.11.06 R76-M1-N3-C:J09-U11 2005-11-06-04.32.11.116911 R76-M1-N3-C:J09-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131280331 2005.11.06 R04-M0-N2-C:J07-U01 2005-11-06-04.32.11.284563 R04-M0-N2-C:J07-U01 RAS KERNEL INFO CE sym 31, at 0x1e988640, mask 0x40
1131280331 2005.11.06 R07-M0-N1-C:J05-U11 2005-11-06-04.32.11.368299 R07-M0-N1-C:J05-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131280331 2005.11.06 R07-M1-N2-C:J03-U01 2005-11-06-04.32.11.451464 R07-M1-N2-C:J03-U01 RAS KERNEL INFO CE sym 34, at 0x19aa8760, mask 0x40
1131280331 2005.11.06 R55-M1-N7-C:J14-U11 2005-11-06-04.32.11.547966 R55-M1-N7-C:J14-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131280332 2005.11.06 R13-M0-NE-C:J14-U01 2005-11-06-04.32.12.289767 R13-M0-NE-C:J14-U01 RAS KERNEL INFO CE sym 23, at 0x1df729e0, mask 0x10
1131280336 2005.11.06 R25-M1-N4-C:J12-U01 2005-11-06-04.32.16.247240 R25-M1-N4-C:J12-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131280343 2005.11.06 R34-M1-N0-C:J09-U01 2005-11-06-04.32.23.298521 R34-M1-N0-C:J09-U01 RAS KERNEL INFO CE sym 19, at 0x1cde9b00, mask 0x10
1131280343 2005.11.06 R64-M0-N0-C:J03-U01 2005-11-06-04.32.23.403525 R64-M0-N0-C:J03-U01 RAS KERNEL INFO CE sym 19, at 0x1afa9460, mask 0x10
1131280343 2005.11.06 R55-M0-N9-C:J06-U11 2005-11-06-04.32.23.740599 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected
1131280343 2005.11.06 R34-M0-N7-C:J04-U11 2005-11-06-04.32.23.842971 R34-M0-N7-C:J04-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131280344 2005.11.06 R10-M0-NE-C:J02-U11 2005-11-06-04.32.24.057186 R10-M0-NE-C:J02-U11 RAS KERNEL INFO CE sym 34, at 0x1a164360, mask 0x40
1131280346 2005.11.06 R40-M0-NA-C:J05-U01 2005-11-06-04.32.26.714741 R40-M0-NA-C:J05-U01 RAS KERNEL INFO CE sym 21, at 0x1a6cf700, mask 0x20
1131280347 2005.11.06 R04-M0-N2-C:J07-U01 2005-11-06-04.32.27.264634 R04-M0-N2-C:J07-U01 RAS KERNEL INFO CE sym 31, at 0x1e988640, mask 0x40
1131280347 2005.11.06 R07-M1-N2-C:J03-U01 2005-11-06-04.32.27.372614 R07-M1-N2-C:J03-U01 RAS KERNEL INFO CE sym 34, at 0x19aa8760, mask 0x40
1131280348 2005.11.06 R13-M0-NE-C:J14-U01 2005-11-06-04.32.28.006625 R13-M0-NE-C:J14-U01 RAS KERNEL INFO CE sym 23, at 0x1df729e0, mask 0x10
1131280362 2005.11.06 R34-M1-N0-C:J09-U01 2005-11-06-04.32.42.814425 R34-M1-N0-C:J09-U01 RAS KERNEL INFO total of 2 ddr error(s) detected and corrected
1131280362 2005.11.06 R64-M0-N0-C:J03-U01 2005-11-06-04.32.42.954340 R64-M0-N0-C:J03-U01 RAS KERNEL INFO total of 2 ddr error(s) detected and corrected
1131280363 2005.11.06 R55-M0-N9-C:J06-U11 2005-11-06-04.32.43.190650 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 45 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected
1131280363 2005.11.06 R10-M0-NE-C:J02-U11 2005-11-06-04.32.43.301769 R10-M0-NE-C:J02-U11 RAS KERNEL INFO CE sym 34, at 0x1a164360, mask 0x40
1131363011 2005.11.07 R31-M1-NF-C:J15-U11 2005-11-07-03.30.11.013218 R31-M1-NF-C:J15-U11 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 34, bit 6
1131363011 2005.11.07 R25-M0-NB-C:J11-U01 2005-11-07-03.30.11.126936 R25-M0-NB-C:J11-U01 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 10, bit 6
1131363011 2005.11.07 R61-M0-N3-C:J11-U01 2005-11-07-03.30.11.569863 R61-M0-N3-C:J11-U01 RAS KERNEL INFO 229 L3 EDRAM error(s) (dcr 0x0157) detected and corrected
1131363012 2005.11.07 R04-M1-N8-C:J17-U11 2005-11-07-03.30.12.216254 R04-M1-N8-C:J17-U11 RAS KERNEL INFO 2 L3 EDRAM error(s) (dcr 0x0157) detected and corrected
1131363012 2005.11.07 R73-M0-ND-C:J15-U11 2005-11-07-03.30.12.856064 R73-M0-ND-C:J15-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 29, bit 2
1131363013 2005.11.07 R43-M1-NE-C:J09-U01 2005-11-07-03.30.13.752527 R43-M1-NE-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 34, bit 7
1131363014 2005.11.07 R64-M0-N0-C:J03-U01 2005-11-07-03.30.14.171624 R64-M0-N0-C:J03-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 19, bit 3
1131363014 2005.11.07 R76-M1-NE-C:J03-U11 2005-11-07-03.30.14.435703 R76-M1-NE-C:J03-U11 RAS KERNEL INFO 1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected
1131363014 2005.11.07 R76-M1-N3-C:J09-U11 2005-11-07-03.30.14.668299 R76-M1-N3-C:J09-U11 RAS KERNEL INFO 3 ddr errors(s) detected and corrected on rank 0, symbol 11, bit 3
1131363015 2005.11.07 R04-M0-NA-C:J03-U01 2005-11-07-03.30.15.368283 R04-M0-NA-C:J03-U01 RAS KERNEL INFO 60 L3 EDRAM error(s) (dcr 0x0157) detected and corrected
1131363015 2005.11.07 R04-M0-N2-C:J07-U01 2005-11-07-03.30.15.481925 R04-M0-N2-C:J07-U01 RAS KERNEL INFO 6 ddr errors(s) detected and corrected on rank 0, symbol 31, bit 1
1131363015 2005.11.07 R07-M1-N2-C:J03-U01 2005-11-07-03.30.15.745219 R07-M1-N2-C:J03-U01 RAS KERNEL INFO 15 ddr errors(s) detected and corrected on rank 0, symbol 34, bit 1
1131363015 2005.11.07 R55-M1-N7-C:J14-U11 2005-11-07-03.30.15.954320 R55-M1-N7-C:J14-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 20, bit 5
1131363016 2005.11.07 R22-M0-N6-C:J16-U11 2005-11-07-03.30.16.433311 R22-M0-N6-C:J16-U11 RAS KERNEL INFO 1 L3 EDRAM error(s) (dcr 0x0157) detected and corrected
1131363017 2005.11.07 R25-M0-NA-C:J14-U11 2005-11-07-03.30.17.162966 R25-M0-NA-C:J14-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 13, bit 4
1131363017 2005.11.07 R07-M0-N1-C:J05-U11 2005-11-07-03.30.17.264653 R07-M0-N1-C:J05-U11 RAS KERNEL INFO 5 ddr errors(s) detected and corrected on rank 0, symbol 4, bit 0
1131363017 2005.11.07 R07-M0-N1-C:J12-U01 2005-11-07-03.30.17.366574 R07-M0-N1-C:J12-U01 RAS KERNEL INFO 12 L3 EDRAM error(s) (dcr 0x0157) detected and corrected
1131363018 2005.11.07 R55-M0-N9-C:J08-U11 2005-11-07-03.30.18.096274 R55-M0-N9-C:J08-U11 RAS KERNEL INFO 1 torus sender z+ retransmission error(s) (dcr 0x02f8) detected and corrected
1131363018 2005.11.07 R55-M0-N9-C:J06-U11 2005-11-07-03.30.18.197847 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 7 torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected
1131363018 2005.11.07 R55-M0-N9-C:J02-U11 2005-11-07-03.30.18.300333 R55-M0-N9-C:J02-U11 RAS KERNEL INFO 1 torus sender x- retransmission error(s) (dcr 0x02f5) detected and corrected
1131363018 2005.11.07 R64-M1-N9-C:J08-U11 2005-11-07-03.30.18.994133 R64-M1-N9-C:J08-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 8, bit 4
1131363019 2005.11.07 R52-M0-NB-C:J02-U01 2005-11-07-03.30.19.197144 R52-M0-NB-C:J02-U01 RAS KERNEL INFO 361 L3 directory error(s) (dcr 0x0152) detected and corrected
1131363019 2005.11.07 R10-M0-NE-C:J02-U11 2005-11-07-03.30.19.676113 R10-M0-NE-C:J02-U11 RAS KERNEL INFO 16 ddr errors(s) detected and corrected on rank 0, symbol 34, bit 1
1131363019 2005.11.07 R10-M0-N2-C:J06-U11 2005-11-07-03.30.19.771413 R10-M0-N2-C:J06-U11 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 2
1131363020 2005.11.07 R01-M1-N8-C:J06-U11 2005-11-07-03.30.20.314005 R01-M1-N8-C:J06-U11 RAS KERNEL INFO 1 L3 EDRAM error(s) (dcr 0x0157) detected and corrected
1131363021 2005.11.07 R31-M1-NF-C:J15-U11 2005-11-07-03.30.21.989012 R31-M1-NF-C:J15-U11 RAS KERNEL INFO CE sym 34, at 0x19b019a0, mask 0x02
1131363022 2005.11.07 R25-M0-NB-C:J11-U01 2005-11-07-03.30.22.078947 R25-M0-NB-C:J11-U01 RAS KERNEL INFO CE sym 10, at 0x1f6868e0, mask 0x02
1131363022 2005.11.07 R73-M0-ND-C:J15-U11 2005-11-07-03.30.22.946574 R73-M0-ND-C:J15-U11 RAS KERNEL INFO CE sym 29, at 0x1ca65060, mask 0x20
1131363023 2005.11.07 R43-M1-NE-C:J09-U01 2005-11-07-03.30.23.719172 R43-M1-NE-C:J09-U01 RAS KERNEL INFO CE sym 34, at 0x1c5334e0, mask 0x01
1131363024 2005.11.07 R64-M0-N0-C:J03-U01 2005-11-07-03.30.24.031352 R64-M0-N0-C:J03-U01 RAS KERNEL INFO CE sym 19, at 0x1afa9460, mask 0x10
1131363024 2005.11.07 R76-M1-NE-C:J03-U11 2005-11-07-03.30.24.228494 R76-M1-NE-C:J03-U11 RAS KERNEL INFO 2 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
1131363024 2005.11.07 R76-M1-N3-C:J09-U11 2005-11-07-03.30.24.426237 R76-M1-N3-C:J09-U11 RAS KERNEL INFO CE sym 11, at 0x1c68a8c0, mask 0x10
1131363024 2005.11.07 R04-M0-N2-C:J07-U01 2005-11-07-03.30.24.910939 R04-M0-N2-C:J07-U01 RAS KERNEL INFO CE sym 31, at 0x1e988640, mask 0x40
1131363025 2005.11.07 R07-M0-N1-C:J05-U11 2005-11-07-03.30.25.000478 R07-M0-N1-C:J05-U11 RAS KERNEL INFO CE sym 4, at 0x054d2be0, mask 0x80
1131363025 2005.11.07 R07-M1-N2-C:J03-U01 2005-11-07-03.30.25.090670 R07-M1-N2-C:J03-U01 RAS KERNEL INFO CE sym 34, at 0x19aa8760, mask 0x40
1131363025 2005.11.07 R55-M1-N7-C:J14-U11 2005-11-07-03.30.25.263451 R55-M1-N7-C:J14-U11 RAS KERNEL INFO CE sym 20, at 0x0a1b4e80, mask 0x04
1131363025 2005.11.07 R25-M0-NA-C:J14-U11 2005-11-07-03.30.25.952298 R25-M0-NA-C:J14-U11 RAS KERNEL INFO CE sym 13, at 0x037175c0, mask 0x08
1131363026 2005.11.07 R55-M0-N9-C:J06-U11 2005-11-07-03.30.26.549954 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 torus receiver x- input pipe error(s) (dcr 0x02ed) detected and corrected
1131363026 2005.11.07 R64-M1-N9-C:J08-U11 2005-11-07-03.30.26.999655 R64-M1-N9-C:J08-U11 RAS KERNEL INFO CE sym 8, at 0x199e5600, mask 0x08
1131363027 2005.11.07 R10-M0-NE-C:J02-U11 2005-11-07-03.30.27.466185 R10-M0-NE-C:J02-U11 RAS KERNEL INFO CE sym 34, at 0x1a164360, mask 0x40
1131363027 2005.11.07 R10-M0-N2-C:J06-U11 2005-11-07-03.30.27.556111 R10-M0-N2-C:J06-U11 RAS KERNEL INFO CE sym 15, at 0x1c2040c0, mask 0x20
1131363028 2005.11.07 R31-M1-NF-C:J15-U11 2005-11-07-03.30.28.537520 R31-M1-NF-C:J15-U11 RAS KERNEL INFO CE sym 34, at 0x19b019a0, mask 0x02
1131363028 2005.11.07 R25-M0-NB-C:J11-U01 2005-11-07-03.30.28.614879 R25-M0-NB-C:J11-U01 RAS KERNEL INFO CE sym 10, at 0x1fbc68e0, mask 0x02
1131363029 2005.11.07 R73-M0-ND-C:J15-U11 2005-11-07-03.30.29.357229 R73-M0-ND-C:J15-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131363030 2005.11.07 R43-M1-NE-C:J09-U01 2005-11-07-03.30.30.003529 R43-M1-NE-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131363030 2005.11.07 R64-M0-N0-C:J03-U01 2005-11-07-03.30.30.290461 R64-M0-N0-C:J03-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131363030 2005.11.07 R76-M1-N3-C:J09-U11 2005-11-07-03.30.30.566101 R76-M1-N3-C:J09-U11 RAS KERNEL INFO CE sym 11, at 0x1c68a8c0, mask 0x10
1131363031 2005.11.07 R04-M0-N2-C:J07-U01 2005-11-07-03.30.31.040975 R04-M0-N2-C:J07-U01 RAS KERNEL INFO CE sym 31, at 0x1e988640, mask 0x40
1131363031 2005.11.07 R07-M0-N1-C:J05-U11 2005-11-07-03.30.31.116812 R07-M0-N1-C:J05-U11 RAS KERNEL INFO CE sym 4, at 0x054d2be0, mask 0x80
1131363031 2005.11.07 R07-M1-N2-C:J03-U01 2005-11-07-03.30.31.194072 R07-M1-N2-C:J03-U01 RAS KERNEL INFO CE sym 34, at 0x19aa8760, mask 0x40
1131363031 2005.11.07 R55-M1-N7-C:J14-U11 2005-11-07-03.30.31.355644 R55-M1-N7-C:J14-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131363032 2005.11.07 R25-M0-NA-C:J14-U11 2005-11-07-03.30.32.007712 R25-M0-NA-C:J14-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131363032 2005.11.07 R55-M0-N9-C:J06-U11 2005-11-07-03.30.32.654617 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected
1131363033 2005.11.07 R64-M1-N9-C:J08-U11 2005-11-07-03.30.33.253259 R64-M1-N9-C:J08-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
1131363033 2005.11.07 R10-M0-NE-C:J02-U11 2005-11-07-03.30.33.833810 R10-M0-NE-C:J02-U11 RAS KERNEL INFO CE sym 34, at 0x1a164360, mask 0x40
1131363033 2005.11.07 R10-M0-N2-C:J06-U11 2005-11-07-03.30.33.952296 R10-M0-N2-C:J06-U11 RAS KERNEL INFO CE sym 15, at 0x1c2040c0, mask 0x20
1131363034 2005.11.07 R31-M1-NF-C:J15-U11 2005-11-07-03.30.34.826535 R31-M1-NF-C:J15-U11 RAS KERNEL INFO total of 2 ddr error(s) detected and corrected
1131363034 2005.11.07 R25-M0-NB-C:J11-U01 2005-11-07-03.30.34.905364 R25-M0-NB-C:J11-U01 RAS KERNEL INFO total of 2 ddr error(s) detected and corrected
1131363036 2005.11.07 R76-M1-N3-C:J09-U11 2005-11-07-03.30.36.556593 R76-M1-N3-C:J09-U11 RAS KERNEL INFO CE sym 11, at 0x1c68a8c0, mask 0x10
1131363036 2005.11.07 R04-M0-N2-C:J07-U01 2005-11-07-03.30.36.981608 R04-M0-N2-C:J07-U01 RAS KERNEL INFO CE sym 31, at 0x1e988640, mask 0x40
1131363037 2005.11.07 R07-M0-N1-C:J05-U11 2005-11-07-03.30.37.077193 R07-M0-N1-C:J05-U11 RAS KERNEL INFO CE sym 4, at 0x054d2be0, mask 0x80
1131363037 2005.11.07 R07-M1-N2-C:J03-U01 2005-11-07-03.30.37.173297 R07-M1-N2-C:J03-U01 RAS KERNEL INFO CE sym 34, at 0x19aa8760, mask 0x40
1131363037 2005.11.07 R55-M0-N9-C:J06-U11 2005-11-07-03.30.37.861059 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 torus receiver y- input pipe error(s) (dcr 0x02ef) detected and corrected
1131363038 2005.11.07 R10-M0-NE-C:J02-U11 2005-11-07-03.30.38.627613 R10-M0-NE-C:J02-U11 RAS KERNEL INFO CE sym 34, at 0x1a164360, mask 0x40
1131363038 2005.11.07 R10-M0-N2-C:J06-U11 2005-11-07-03.30.38.717631 R10-M0-N2-C:J06-U11 RAS KERNEL INFO total of 2 ddr error(s) detected and corrected
1131363040 2005.11.07 R76-M1-N3-C:J09-U11 2005-11-07-03.30.40.363082 R76-M1-N3-C:J09-U11 RAS KERNEL INFO total of 3 ddr error(s) detected and corrected
1131363040 2005.11.07 R04-M0-N2-C:J07-U01 2005-11-07-03.30.40.745452 R04-M0-N2-C:J07-U01 RAS KERNEL INFO CE sym 31, at 0x1e988640, mask 0x40
1131363040 2005.11.07 R07-M0-N1-C:J05-U11 2005-11-07-03.30.40.841532 R07-M0-N1-C:J05-U11 RAS KERNEL INFO CE sym 4, at 0x054d2be0, mask 0x80
