- 1131566463 2005.11.09 cn142 Nov 9 12:01:03 cn142/cn142 ntpd[7467]: synchronized to 10.100.20.250, stratum 3
- 1131566814 2005.11.09 bn165 Nov 9 12:06:54 bn165/bn165 ntpd[23331]: synchronized to 10.100.18.250, stratum 3
- 1131566814 2005.11.09 bn321 Nov 9 12:06:54 bn321/bn321 ntpd[29422]: synchronized to 10.100.14.250, stratum 3
- 1131566815 2005.11.09 cn385 Nov 9 12:06:55 cn385/cn385 ntpd[5975]: synchronized to 10.100.20.250, stratum 3
- 1131566815 2005.11.09 cn74 Nov 9 12:06:55 cn74/cn74 ntpd[17700]: synchronized to 10.100.20.250, stratum 3
- 1131566816 2005.11.09 cn610 Nov 9 12:06:56 cn610/cn610 ntpd[19222]: synchronized to 10.100.20.250, stratum 3
- 1131566817 2005.11.09 bn385 Nov 9 12:06:57 bn385/bn385 ntpd[29353]: synchronized to 10.100.12.250, stratum 3
- 1131566818 2005.11.09 cn328 Nov 9 12:06:58 cn328/cn328 ntpd[24363]: synchronized to 10.100.22.250, stratum 3
- 1131566819 2005.11.09 cn232 Nov 9 12:06:59 cn232/cn232 ntpd[10673]: synchronized to 10.100.20.250, stratum 3
- 1131566820 2005.11.09 cn481 Nov 9 12:07:00 cn481/cn481 ntpd[16002]: synchronized to 10.100.20.250, stratum 3
- 1131566820 2005.11.09 cn77 Nov 9 12:07:00 cn77/cn77 ntpd[17747]: synchronized to 10.100.22.250, stratum 3
- 1131566821 2005.11.09 bn721 Nov 9 12:07:01 bn721/bn721 ntpd[24136]: synchronized to 10.100.20.250, stratum 3
- 1131566821 2005.11.09 cn681 Nov 9 12:07:01 cn681/cn681 ntpd[18283]: synchronized to 10.100.18.250, stratum 3
- 1131566822 2005.11.09 cn610 Nov 9 12:07:02 cn610/cn610 ntpd[19222]: synchronized to 10.100.18.250, stratum 3
- 1131566825 2005.11.09 cn936 Nov 9 12:07:05 cn936/cn936 ntpd[29168]: synchronized to 10.100.22.250, stratum 3
- 1131566829 2005.11.09 bn515 Nov 9 12:07:09 bn515/bn515 ntpd[10009]: synchronized to 10.100.10.250, stratum 3
- 1131566829 2005.11.09 cn302 Nov 9 12:07:09 cn302/cn302 ntpd[23306]: synchronized to 10.100.18.250, stratum 3
- 1131566834 2005.11.09 bn64 Nov 9 12:07:14 bn64/bn64 ntpd[22058]: synchronized to 10.100.20.250, stratum 3
- 1131566834 2005.11.09 cn390 Nov 9 12:07:14 cn390/cn390 ntpd[10152]: synchronized to 10.100.18.250, stratum 3
- 1131566835 2005.11.09 bn857 Nov 9 12:07:15 bn857/bn857 ntpd[31082]: synchronized to 10.100.22.250, stratum 3
- 1131566835 2005.11.09 cn111 Nov 9 12:07:15 cn111/cn111 ntpd[19822]: synchronized to 10.100.20.250, stratum 3
- 1131566836 2005.11.09 bn12 Nov 9 12:07:16 bn12/bn12 ntpd[22508]: synchronized to 10.100.22.250, stratum 3
- 1131566839 2005.11.09 cn802 Nov 9 12:07:19 cn802/cn802 ntpd[28663]: synchronized to 10.100.16.250, stratum 3
- 1131566840 2005.11.09 cn211 Nov 9 12:07:20 cn211/cn211 ntpd[20018]: synchronized to 10.100.20.250, stratum 3
- 1131566841 2005.11.09 bn211 Nov 9 12:07:21 bn211/bn211 ntpd[22411]: synchronized to 10.100.22.250, stratum 3
- 1131566842 2005.11.09 bn643 Nov 9 12:07:22 bn643/bn643 ntpd[22442]: synchronized to 10.100.22.250, stratum 3
- 1131566845 2005.11.09 bn731 Nov 9 12:07:25 bn731/bn731 ntpd[23983]: synchronized to 10.100.20.250, stratum 3
- 1131566848 2005.11.09 cn92 Nov 9 12:07:28 cn92/cn92 ntpd[19774]: synchronized to 10.100.20.250, stratum 3
- 1131566849 2005.11.09 cn698 Nov 9 12:07:29 cn698/cn698 ntpd[22859]: synchronized to 10.100.22.250, stratum 3
- 1131566853 2005.11.09 cn834 Nov 9 12:07:33 cn834/cn834 ntpd[28063]: synchronized to 10.100.22.250, stratum 3
- 1131566853 2005.11.09 cn849 Nov 9 12:07:33 cn849/cn849 ntpd[28038]: synchronized to 10.100.18.250, stratum 3
- 1131566854 2005.11.09 cn73 Nov 9 12:07:34 cn73/cn73 ntpd[14737]: synchronized to 10.100.16.250, stratum 3
- 1131566855 2005.11.09 cn199 Nov 9 12:07:35 cn199/cn199 ntpd[20202]: synchronized to 10.100.22.250, stratum 3
- 1131566855 2005.11.09 cn495 Nov 9 12:07:35 cn495/cn495 ntpd[15499]: synchronized to 10.100.22.250, stratum 3
- 1131566858 2005.11.09 bn513 Nov 9 12:07:38 bn513/bn513 ntpd[12964]: synchronized to 10.100.10.250, stratum 3
- 1131566858 2005.11.09 cn318 Nov 9 12:07:38 cn318/cn318 ntpd[19988]: synchronized to 10.100.18.250, stratum 3
- 1131566861 2005.11.09 cn538 Nov 9 12:07:41 cn538/cn538 ntpd[7709]: synchronized to 10.100.20.250, stratum 3
- 1131566863 2005.11.09 cn666 Nov 9 12:07:43 cn666/cn666 ntpd[18497]: synchronized to 10.100.22.250, stratum 3
- 1131566863 2005.11.09 cn913 Nov 9 12:07:43 cn913/cn913 ntpd[23974]: synchronized to 10.100.20.250, stratum 3
- 1131566864 2005.11.09 bn676 Nov 9 12:07:44 bn676/bn676 ntpd[27517]: synchronized to 10.100.20.250, stratum 3
- 1131566866 2005.11.09 cn844 Nov 9 12:07:46 cn844/cn844 ntpd[28132]: synchronized to 10.100.20.250, stratum 3
- 1131566873 2005.11.09 bn760 Nov 9 12:07:53 bn760/bn760 ntpd[22562]: synchronized to 10.100.20.250, stratum 3
- 1131566873 2005.11.09 cn540 Nov 9 12:07:53 cn540/cn540 ntpd[15654]: synchronized to 10.100.20.250, stratum 3
- 1131566875 2005.11.09 bn764 Nov 9 12:07:55 bn764/bn764 ntpd[23121]: synchronized to 10.100.20.250, stratum 3
- 1131566875 2005.11.09 cn874 Nov 9 12:07:55 cn874/cn874 ntpd[29629]: synchronized to 10.100.22.250, stratum 3
- 1131566876 2005.11.09 bn138 Nov 9 12:07:56 bn138/bn138 ntpd[10870]: synchronized to 10.100.18.250, stratum 3
- 1131566881 2005.11.09 bn822 Nov 9 12:08:01 bn822/bn822 ntpd[24887]: synchronized to 10.100.20.250, stratum 3
- 1131566883 2005.11.09 bn834 Nov 9 12:08:03 bn834/bn834 ntpd[21716]: synchronized to 10.100.18.250, stratum 3
- 1131566883 2005.11.09 cn544 Nov 9 12:08:03 cn544/cn544 ntpd[15964]: synchronized to 10.100.16.250, stratum 3
- 1131566885 2005.11.09 bn316 Nov 9 12:08:05 bn316/bn316 ntpd[29439]: synchronized to 10.100.16.250, stratum 3
- 1131566885 2005.11.09 cn591 Nov 9 12:08:05 cn591/cn591 ntpd[17957]: synchronized to 10.100.18.250, stratum 3
- 1131566888 2005.11.09 cn202 Nov 9 12:08:08 cn202/cn202 ntpd[19825]: synchronized to 10.100.18.250, stratum 3
- 1131566889 2005.11.09 cn113 Nov 9 12:08:09 cn113/cn113 ntpd[26144]: synchronized to 10.100.22.250, stratum 3
- 1131566891 2005.11.09 cn18 Nov 9 12:08:11 cn18/cn18 ntpd[25277]: synchronized to 10.100.16.250, stratum 3
- 1131566897 2005.11.09 cn277 Nov 9 12:08:17 cn277/cn277 ntpd[12185]: synchronized to 10.100.20.250, stratum 3
- 1131566897 2005.11.09 cn91 Nov 9 12:08:17 cn91/cn91 ntpd[19566]: synchronized to 10.100.22.250, stratum 3
- 1131566899 2005.11.09 cn420 Nov 9 12:08:19 cn420/cn420 ntpd[12970]: synchronized to 10.100.16.250, stratum 3
- 1131566901 2005.11.09 bn567 Nov 9 12:08:21 bn567/bn567 ntpd[30178]: synchronized to 10.100.14.250, stratum 3
- 1131566901 2005.11.09 cn204 Nov 9 12:08:21 cn204/cn204 ntpd[25330]: synchronized to 10.100.18.250, stratum 3
- 1131566902 2005.11.09 cn936 Nov 9 12:08:22 cn936/cn936 ntpd[29168]: synchronized to 10.100.20.250, stratum 3
- 1131566903 2005.11.09 cn336 Nov 9 12:08:23 cn336/cn336 ntpd[28515]: synchronized to 10.100.18.250, stratum 3
- 1131566906 2005.11.09 cn215 Nov 9 12:08:26 cn215/cn215 ntpd[10640]: synchronized to 10.100.16.250, stratum 3
- 1131566908 2005.11.09 cn167 Nov 9 12:08:28 cn167/cn167 ntpd[10064]: synchronized to 10.100.18.250, stratum 3
- 1131566912 2005.11.09 bn115 Nov 9 12:08:32 bn115/bn115 ntpd[22400]: synchronized to 10.100.22.250, stratum 3
- 1131566912 2005.11.09 cn132 Nov 9 12:08:32 cn132/cn132 ntpd[29020]: synchronized to 10.100.16.250, stratum 3
- 1131566914 2005.11.09 bn889 Nov 9 12:08:34 bn889/bn889 ntpd[24455]: synchronized to 10.100.20.250, stratum 3
- 1131566917 2005.11.09 bn138 Nov 9 12:08:37 bn138/bn138 ntpd[10870]: synchronized to 10.100.22.250, stratum 3
- 1131566917 2005.11.09 cn226 Nov 9 12:08:37 cn226/cn226 ntpd[7473]: synchronized to 10.100.20.250, stratum 3
- 1131566920 2005.11.09 bn338 Nov 9 12:08:40 bn338/bn338 ntpd[29108]: synchronized to 10.100.22.250, stratum 3
- 1131566920 2005.11.09 cn193 Nov 9 12:08:40 cn193/cn193 ntpd[20725]: synchronized to 10.100.20.250, stratum 3
- 1131566923 2005.11.09 cn562 Nov 9 12:08:43 cn562/cn562 ntpd[17910]: synchronized to 10.100.16.250, stratum 3
- 1131566924 2005.11.09 bn831 Nov 9 12:08:44 bn831/bn831 ntpd[21860]: synchronized to 10.100.18.250, stratum 3
- 1131566924 2005.11.09 cn517 Nov 9 12:08:44 cn517/cn517 ntpd[15846]: synchronized to 10.100.22.250, stratum 3
- 1131566925 2005.11.09 bn115 Nov 9 12:08:45 bn115/bn115 ntpd[22400]: synchronized to 10.100.18.250, stratum 3
- 1131566926 2005.11.09 bn71 Nov 9 12:08:46 bn71/bn71 ntpd[22508]: synchronized to 10.100.16.250, stratum 3
- 1131566926 2005.11.09 cn548 Nov 9 12:08:46 cn548/cn548 ntpd[14756]: synchronized to 10.100.20.250, stratum 3
- 1131566927 2005.11.09 cn15 Nov 9 12:08:47 cn15/cn15 ntpd[15650]: synchronized to 10.100.20.250, stratum 3
- 1131566931 2005.11.09 bn138 Nov 9 12:08:51 bn138/bn138 ntpd[10870]: synchronized to 10.100.20.250, stratum 3
- 1131566931 2005.11.09 bn85 Nov 9 12:08:51 bn85/bn85 ntpd[23096]: synchronized to 10.100.18.250, stratum 3
- 1131566934 2005.11.09 cn407 Nov 9 12:08:54 cn407/cn407 ntpd[12879]: synchronized to 10.100.18.250, stratum 3
- 1131566937 2005.11.09 cn853 Nov 9 12:08:57 cn853/cn853 ntpd[27979]: synchronized to 10.100.22.250, stratum 3
- 1131566940 2005.11.09 bn85 Nov 9 12:09:00 bn85/bn85 ntpd[23096]: synchronized to 10.100.22.250, stratum 3
- 1131566940 2005.11.09 cn225 Nov 9 12:09:00 cn225/cn225 ntpd[10661]: synchronized to 10.100.20.250, stratum 3
- 1131566941 2005.11.09 cn204 Nov 9 12:09:01 cn204/cn204 ntpd[25330]: synchronized to 10.100.20.250, stratum 3
- 1131566946 2005.11.09 cn387 Nov 9 12:09:06 cn387/cn387 ntpd[10199]: synchronized to 10.100.20.250, stratum 3
- 1131566947 2005.11.09 cn959 Nov 9 12:09:07 cn959/cn959 ntpd[19944]: synchronized to 10.100.16.250, stratum 3
- 1131566948 2005.11.09 cn369 Nov 9 12:09:08 cn369/cn369 ntpd[10316]: synchronized to 10.100.20.250, stratum 3
- 1131566948 2005.11.09 cn499 Nov 9 12:09:08 cn499/cn499 ntpd[15380]: synchronized to 10.100.20.250, stratum 3
- 1131566948 2005.11.09 cn619 Nov 9 12:09:08 cn619/cn619 ntpd[18726]: synchronized to 10.100.20.250, stratum 3
- 1131566949 2005.11.09 bn323 Nov 9 12:09:09 bn323/bn323 ntpd[25792]: synchronized to 10.100.20.250, stratum 3
- 1131566951 2005.11.09 cn1012 Nov 9 12:09:11 cn1012/cn1012 ntpd[19634]: synchronized to 10.100.18.250, stratum 3
- 1131566955 2005.11.09 cn1003 Nov 9 12:09:15 cn1003/cn1003 ntpd[19441]: synchronized to 10.100.20.250, stratum 3
- 1131566956 2005.11.09 bn647 Nov 9 12:09:16 bn647/bn647 ntpd[30260]: synchronized to 10.100.10.250, stratum 3
- 1131566959 2005.11.09 bn414 Nov 9 12:09:19 bn414/bn414 ntpd[28681]: synchronized to 10.100.20.250, stratum 3
- 1131566959 2005.11.09 cn493 Nov 9 12:09:19 cn493/cn493 ntpd[15332]: synchronized to 10.100.18.250, stratum 3
- 1131566961 2005.11.09 cn294 Nov 9 12:09:21 cn294/cn294 ntpd[23811]: synchronized to 10.100.20.250, stratum 3
- 1131566963 2005.11.09 cn178 Nov 9 12:09:23 cn178/cn178 ntpd[9824]: synchronized to 10.100.16.250, stratum 3
- 1131566964 2005.11.09 cn614 Nov 9 12:09:24 cn614/cn614 ntpd[18302]: synchronized to 10.100.20.250, stratum 3
- 1131566965 2005.11.09 bn469 Nov 9 12:09:25 bn469/bn469 ntpd[29302]: synchronized to 10.100.10.250, stratum 3
- 1131566965 2005.11.09 cn724 Nov 9 12:09:25 cn724/cn724 ntpd[28834]: synchronized to 10.100.16.250, stratum 3
- 1131566965 2005.11.09 cn966 Nov 9 12:09:25 cn966/cn966 ntpd[19702]: synchronized to 10.100.20.250, stratum 3
- 1131566968 2005.11.09 cn270 Nov 9 12:09:28 cn270/cn270 ntpd[11213]: synchronized to 10.100.16.250, stratum 3
- 1131566968 2005.11.09 cn956 Nov 9 12:09:28 cn956/cn956 ntpd[25615]: synchronized to 10.100.20.250, stratum 3
- 1131566971 2005.11.09 cn306 Nov 9 12:09:31 cn306/cn306 ntpd[23587]: synchronized to 10.100.20.250, stratum 3
- 1131566972 2005.11.09 cn310 Nov 9 12:09:32 cn310/cn310 ntpd[24087]: synchronized to 10.100.16.250, stratum 3
- 1131566977 2005.11.09 cn733 Nov 9 12:09:37 cn733/cn733 ntpd[27716]: synchronized to 10.100.16.250, stratum 3
- 1131566979 2005.11.09 cn535 Nov 9 12:09:39 cn535/cn535 ntpd[17346]: synchronized to 10.100.20.250, stratum 3
- 1131566979 2005.11.09 cn665 Nov 9 12:09:39 cn665/cn665 ntpd[23982]: synchronized to 10.100.20.250, stratum 3
- 1131566986 2005.11.09 cn552 Nov 9 12:09:46 cn552/cn552 ntpd[14687]: synchronized to 10.100.20.250, stratum 3
- 1131566988 2005.11.09 bn623 Nov 9 12:09:48 bn623/bn623 ntpd[23389]: synchronized to 10.100.14.250, stratum 3
- 1131566989 2005.11.09 bn415 Nov 9 12:09:49 bn415/bn415 ntpd[28452]: synchronized to 10.100.18.250, stratum 3
- 1131566989 2005.11.09 bn535 Nov 9 12:09:49 bn535/bn535 ntpd[29717]: synchronized to 10.100.22.250, stratum 3
- 1131566989 2005.11.09 bn663 Nov 9 12:09:49 bn663/bn663 ntpd[31283]: synchronized to 10.100.10.250, stratum 3
- 1131566992 2005.11.09 cn535 Nov 9 12:09:52 cn535/cn535 ntpd[17346]: synchronized to 10.100.18.250, stratum 3
- 1131566994 2005.11.09 bn864 Nov 9 12:09:54 bn864/bn864 ntpd[29799]: synchronized to 10.100.18.250, stratum 3
- 1131566994 2005.11.09 cn730 Nov 9 12:09:54 cn730/cn730 ntpd[28778]: synchronized to 10.100.16.250, stratum 3
- 1131567000 2005.11.09 cn740 Nov 9 12:10:00 cn740/cn740 ntpd[28764]: synchronized to 10.100.18.250, stratum 3
- 1131567003 2005.11.09 bn688 Nov 9 12:10:03 bn688/bn688 ntpd[21977]: synchronized to 10.100.16.250, stratum 3
- 1131567006 2005.11.09 cn265 Nov 9 12:10:06 cn265/cn265 ntpd[12012]: synchronized to 10.100.20.250, stratum 3
- 1131567007 2005.11.09 cn729 Nov 9 12:10:07 cn729/cn729 ntpd[28377]: synchronized to 10.100.16.250, stratum 3
- 1131567013 2005.11.09 bn363 Nov 9 12:10:13 bn363/bn363 ntpd[28759]: synchronized to 10.100.20.250, stratum 3
- 1131567015 2005.11.09 bn37 Nov 9 12:10:15 bn37/bn37 ntpd[2259]: synchronized to 10.100.22.250, stratum 3
- 1131567016 2005.11.09 cn325 Nov 9 12:10:16 cn325/cn325 ntpd[23715]: synchronized to 10.100.20.250, stratum 3
- 1131567018 2005.11.09 cn413 Nov 9 12:10:18 cn413/cn413 ntpd[13159]: synchronized to 10.100.16.250, stratum 3
- 1131567018 2005.11.09 cn721 Nov 9 12:10:18 cn721/cn721 ntpd[27474]: synchronized to 10.100.18.250, stratum 3
- 1131567018 2005.11.09 cn912 Nov 9 12:10:18 cn912/cn912 ntpd[28300]: synchronized to 10.100.20.250, stratum 3
- 1131567020 2005.11.09 cn975 Nov 9 12:10:20 cn975/cn975 ntpd[18975]: synchronized to 10.100.20.250, stratum 3
- 1131567021 2005.11.09 cn519 Nov 9 12:10:21 cn519/cn519 ntpd[16839]: synchronized to 10.100.22.250, stratum 3
- 1131567021 2005.11.09 cn926 Nov 9 12:10:21 cn926/cn926 ntpd[28225]: synchronized to 10.100.18.250, stratum 3
- 1131567024 2005.11.09 bn955 Nov 9 12:10:24 bn955/bn955 ntpd[16532]: synchronized to 10.100.16.250, stratum 3
- 1131567026 2005.11.09 bn508 Nov 9 12:10:26 bn508/bn508 ntpd[29337]: synchronized to 10.100.18.250, stratum 3
- 1131567026 2005.11.09 cn993 Nov 9 12:10:26 cn993/cn993 ntpd[19213]: synchronized to 10.100.18.250, stratum 3
- 1131567027 2005.11.09 bn816 Nov 9 12:10:27 bn816/bn816 ntpd[23184]: synchronized to 10.100.22.250, stratum 3
- 1131567033 2005.11.09 cn770 Nov 9 12:10:33 cn770/cn770 ntpd[28162]: synchronized to 10.100.18.250, stratum 3
- 1131567037 2005.11.09 cn729 Nov 9 12:10:37 cn729/cn729 ntpd[28377]: synchronized to 10.100.20.250, stratum 3
- 1131567043 2005.11.09 cn373 Nov 9 12:10:43 cn373/cn373 ntpd[10321]: synchronized to 10.100.20.250, stratum 3
- 1131567044 2005.11.09 bn124 Nov 9 12:10:44 bn124/bn124 ntpd[22190]: synchronized to 10.100.22.250, stratum 3
- 1131567046 2005.11.09 bn964 Nov 9 12:10:46 bn964/bn964 ntpd[15605]: synchronized to 10.100.18.250, stratum 3
- 1131567051 2005.11.09 bn917 Nov 9 12:10:51 bn917/bn917 ntpd[25023]: synchronized to 10.100.20.250, stratum 3
- 1131567051 2005.11.09 cn1011 Nov 9 12:10:51 cn1011/cn1011 ntpd[19603]: synchronized to 10.100.16.250, stratum 3
- 1131567055 2005.11.09 bn568 Nov 9 12:10:55 bn568/bn568 ntpd[22809]: synchronized to 10.100.10.250, stratum 3
- 1131567055 2005.11.09 cn328 Nov 9 12:10:55 cn328/cn328 ntpd[24363]: synchronized to 10.100.20.250, stratum 3
- 1131567057 2005.11.09 cn764 Nov 9 12:10:57 cn764/cn764 ntpd[27910]: synchronized to 10.100.22.250, stratum 3
- 1131567058 2005.11.09 bn334 Nov 9 12:10:58 bn334/bn334 ntpd[28345]: synchronized to 10.100.16.250, stratum 3
- 1131567058 2005.11.09 cn548 Nov 9 12:10:58 cn548/cn548 ntpd[14756]: synchronized to 10.100.16.250, stratum 3
- 1131567060 2005.11.09 cn490 Nov 9 12:11:00 cn490/cn490 ntpd[17427]: synchronized to 10.100.20.250, stratum 3
- 1131567061 2005.11.09 bn343 Nov 9 12:11:01 bn343/bn343 ntpd[28723]: synchronized to 10.100.18.250, stratum 3
- 1131567068 2005.11.09 bn412 Nov 9 12:11:08 bn412/bn412 ntpd[17952]: synchronized to 10.100.18.250, stratum 3
- 1131567072 2005.11.09 bn772 Nov 9 12:11:12 bn772/bn772 ntpd[3214]: synchronized to 10.100.22.250, stratum 3
- 1131567073 2005.11.09 bn301 Nov 9 12:11:13 bn301/bn301 ntpd[23488]: synchronized to 10.100.18.250, stratum 3
- 1131567073 2005.11.09 cn52 Nov 9 12:11:13 cn52/cn52 ntpd[15522]: synchronized to 10.100.22.250, stratum 3
- 1131567078 2005.11.09 cn94 Nov 9 12:11:18 cn94/cn94 ntpd[19065]: synchronized to 10.100.20.250, stratum 3
- 1131567080 2005.11.09 cn1000 Nov 9 12:11:20 cn1000/cn1000 ntpd[19233]: synchronized to 10.100.18.250, stratum 3
- 1131567083 2005.11.09 bn643 Nov 9 12:11:23 bn643/bn643 ntpd[22442]: synchronized to 10.100.20.250, stratum 3
- 1131567084 2005.11.09 bn364 Nov 9 12:11:24 bn364/bn364 ntpd[28894]: synchronized to 10.100.10.250, stratum 3
- 1131567084 2005.11.09 bn364 Nov 9 12:11:24 bn364/bn364 ntpd[28894]: synchronized to 10.100.8.250, stratum 3
- 1131567084 2005.11.09 cn874 Nov 9 12:11:24 cn874/cn874 ntpd[29629]: synchronized to 10.100.16.250, stratum 3
- 1131567085 2005.11.09 bn93 Nov 9 12:11:25 bn93/bn93 ntpd[22271]: synchronized to 10.100.22.250, stratum 3
- 1131567086 2005.11.09 cn459 Nov 9 12:11:26 cn459/cn459 ntpd[12629]: synchronized to 10.100.20.250, stratum 3
- 1131567093 2005.11.09 bn93 Nov 9 12:11:33 bn93/bn93 ntpd[22271]: synchronized to 10.100.16.250, stratum 3
- 1131567095 2005.11.09 cn81 Nov 9 12:11:35 cn81/cn81 ntpd[19090]: synchronized to 10.100.20.250, stratum 3
- 1131567095 2005.11.09 cn89 Nov 9 12:11:35 cn89/cn89 ntpd[19837]: synchronized to 10.100.20.250, stratum 3
- 1131567097 2005.11.09 cn202 Nov 9 12:11:37 cn202/cn202 ntpd[19825]: synchronized to 10.100.20.250, stratum 3
- 1131567098 2005.11.09 bn1 Nov 9 12:11:38 bn1/bn1 ntpd[23146]: synchronized to 10.100.20.250, stratum 3
- 1131567099 2005.11.09 cn608 Nov 9 12:11:39 cn608/cn608 ntpd[10784]: synchronized to 10.100.16.250, stratum 3
- 1131567101 2005.11.09 bn85 Nov 9 12:11:41 bn85/bn85 ntpd[23096]: synchronized to 10.100.20.250, stratum 3
- 1131567104 2005.11.09 cn538 Nov 9 12:11:44 cn538/cn538 ntpd[7709]: synchronized to 10.100.22.250, stratum 3
- 1131567104 2005.11.09 cn656 Nov 9 12:11:44 cn656/cn656 ntpd[32284]: synchronized to 10.100.22.250, stratum 3
- 1131567104 2005.11.09 cn688 Nov 9 12:11:44 cn688/cn688 ntpd[19262]: synchronized to 10.100.16.250, stratum 3
- 1131567108 2005.11.09 cn814 Nov 9 12:11:48 cn814/cn814 ntpd[28198]: synchronized to 10.100.16.250, stratum 3
- 1131567114 2005.11.09 cn794 Nov 9 12:11:54 cn794/cn794 ntpd[29916]: synchronized to 10.100.18.250, stratum 3
- 1131567116 2005.11.09 bn922 Nov 9 12:11:56 bn922/bn922 ntpd[25106]: synchronized to 10.100.8.250, stratum 3
- 1131567116 2005.11.09 cn684 Nov 9 12:11:56 cn684/cn684 ntpd[19346]: synchronized to 10.100.22.250, stratum 3
- 1131567117 2005.11.09 bn455 Nov 9 12:11:57 bn455/bn455 ntpd[31532]: synchronized to 10.100.20.250, stratum 3
- 1131567119 2005.11.09 cn1014 Nov 9 12:11:59 cn1014/cn1014 ntpd[19389]: synchronized to 10.100.20.250, stratum 3
- 1131567123 2005.11.09 cn730 Nov 9 12:12:03 cn730/cn730 ntpd[28778]: synchronized to 10.100.22.250, stratum 3
- 1131567123 2005.11.09 cn989 Nov 9 12:12:03 cn989/cn989 ntpd[2256]: synchronized to 10.100.20.250, stratum 3
- 1131567124 2005.11.09 cn967 Nov 9 12:12:04 cn967/cn967 ntpd[19908]: synchronized to 10.100.20.250, stratum 3
- 1131567125 2005.11.09 cn591 Nov 9 12:12:05 cn591/cn591 ntpd[17957]: synchronized to 10.100.20.250, stratum 3
- 1131567126 2005.11.09 bn503 Nov 9 12:12:06 bn503/bn503 ntpd[29348]: synchronized to 10.100.12.250, stratum 3
- 1131567132 2005.11.09 cn5 Nov 9 12:12:12 cn5/cn5 ntpd[14426]: synchronized to 10.100.20.250, stratum 3
- 1131567135 2005.11.09 bn62 Nov 9 12:12:15 bn62/bn62 ntpd[22043]: synchronized to 10.100.18.250, stratum 3
- 1131567136 2005.11.09 bn801 Nov 9 12:12:16 bn801/bn801 ntpd[23830]: synchronized to 10.100.16.250, stratum 3
- 1131567139 2005.11.09 cn948 Nov 9 12:12:19 cn948/cn948 ntpd[29836]: synchronized to 10.100.20.250, stratum 3
- 1131567140 2005.11.09 bn293 Nov 9 12:12:20 bn293/bn293 ntpd[24101]: synchronized to 10.100.22.250, stratum 3
- 1131567144 2005.11.09 cn11 Nov 9 12:12:24 cn11/cn11 ntpd[12749]: synchronized to 10.100.20.250, stratum 3
- 1131567148 2005.11.09 bn547 Nov 9 12:12:28 bn547/bn547 ntpd[32225]: synchronized to 10.100.14.250, stratum 3
- 1131567153 2005.11.09 cn468 Nov 9 12:12:33 cn468/cn468 ntpd[15480]: synchronized to 10.100.18.250, stratum 3
- 1131567158 2005.11.09 bn1010 Nov 9 12:12:38 bn1010/bn1010 ntpd[15508]: synchronized to 10.100.16.250, stratum 3
- 1131567158 2005.11.09 bn181 Nov 9 12:12:38 bn181/bn181 ntpd[22064]: synchronized to 10.100.16.250, stratum 3
- 1131567158 2005.11.09 cn765 Nov 9 12:12:38 cn765/cn765 ntpd[27990]: synchronized to 10.100.16.250, stratum 3
- 1131567159 2005.11.09 bn10 Nov 9 12:12:39 bn10/bn10 ntpd[22328]: synchronized to 10.100.20.250, stratum 3
- 1131567160 2005.11.09 bn810 Nov 9 12:12:40 bn810/bn810 ntpd[14397]: synchronized to 10.100.22.250, stratum 3
- 1131567161 2005.11.09 cn748 Nov 9 12:12:41 cn748/cn748 ntpd[29307]: synchronized to 10.100.18.250, stratum 3
- 1131567164 2005.11.09 cn26 Nov 9 12:12:44 cn26/cn26 ntpd[30974]: synchronized to 10.100.20.250, stratum 3
- 1131567164 2005.11.09 cn702 Nov 9 12:12:44 cn702/cn702 ntpd[19341]: synchronized to 10.100.22.250, stratum 3
- 1131567165 2005.11.09 bn772 Nov 9 12:12:45 bn772/bn772 ntpd[3214]: synchronized to 10.100.18.250, stratum 3
- 1131567168 2005.11.09 bn312 Nov 9 12:12:48 bn312/bn312 ntpd[29740]: synchronized to 10.100.20.250, stratum 3
- 1131567169 2005.11.09 cn884 Nov 9 12:12:49 cn884/cn884 ntpd[32661]: synchronized to 10.100.20.250, stratum 3
- 1131567170 2005.11.09 cn720 Nov 9 12:12:50 cn720/cn720 ntpd[27541]: synchronized to 10.100.20.250, stratum 3
- 1131567177 2005.11.09 cn144 Nov 9 12:12:57 cn144/cn144 ntpd[27745]: synchronized to 10.100.16.250, stratum 3
- 1131567177 2005.11.09 cn205 Nov 9 12:12:57 cn205/cn205 ntpd[20490]: synchronized to 10.100.16.250, stratum 3
- 1131567178 2005.11.09 bn911 Nov 9 12:12:58 bn911/bn911 ntpd[24230]: synchronized to 10.100.16.250, stratum 3
- 1131567179 2005.11.09 cn257 Nov 9 12:12:59 cn257/cn257 ntpd[11354]: synchronized to 10.100.22.250, stratum 3
- 1131567181 2005.11.09 cn598 Nov 9 12:13:01 cn598/cn598 ntpd[18790]: synchronized to 10.100.16.250, stratum 3
- 1131567184 2005.11.09 cn163 Nov 9 12:13:04 cn163/cn163 ntpd[10165]: synchronized to 10.100.20.250, stratum 3
- 1131567186 2005.11.09 bn401 Nov 9 12:13:06 bn401/bn401 ntpd[28876]: synchronized to 10.100.16.250, stratum 3
- 1131567186 2005.11.09 cn406 Nov 9 12:13:06 cn406/cn406 ntpd[17522]: synchronized to 10.100.16.250, stratum 3
