- 1152232683 2006.07.06 dn603 Jul 6 17:38:03 dn603/dn603 ntpd[2289]: synchronized to 10.100.30.250, stratum 3
- 1152233279 2006.07.06 dn432 Jul 6 17:47:59 dn432/dn432 ntpd[2286]: synchronized to 10.100.24.250, stratum 3
- 1152233284 2006.07.06 dn891 Jul 6 17:48:04 dn891/dn891 ntpd[2272]: synchronized to 10.100.28.250, stratum 3
- 1152233288 2006.07.06 dn589 Jul 6 17:48:08 dn589/dn589 ntpd[2253]: synchronized to 10.100.30.250, stratum 3
- 1152233296 2006.07.06 dn708 Jul 6 17:48:16 dn708/dn708 ntpd[3389]: synchronized to 10.100.30.250, stratum 3
- 1152233306 2006.07.06 dn859 Jul 6 17:48:26 dn859/dn859 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1152233309 2006.07.06 dn819 Jul 6 17:48:29 dn819/dn819 ntpd[2272]: synchronized to 10.100.26.250, stratum 3
- 1152233310 2006.07.06 dn708 Jul 6 17:48:30 dn708/dn708 ntpd[3389]: synchronized to 10.100.26.250, stratum 3
- 1152233311 2006.07.06 dn973 Jul 6 17:48:31 dn973/dn973 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1152233318 2006.07.06 dn78 Jul 6 17:48:38 dn78/dn78 ntpd[2241]: synchronized to 10.100.26.250, stratum 3
- 1152233319 2006.07.06 dn707 Jul 6 17:48:39 dn707/dn707 ntpd[2280]: synchronized to 10.100.26.250, stratum 3
- 1152233320 2006.07.06 dn125 Jul 6 17:48:40 dn125/dn125 smartd[1977]: Device: /dev/sda, Temperature changed 2 Celsius to 28 Celsius since last report
- 1152233320 2006.07.06 dn21 Jul 6 17:48:40 dn21/dn21 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1152233321 2006.07.06 dn154 Jul 6 17:48:41 dn154/dn154 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152233322 2006.07.06 dn565 Jul 6 17:48:42 dn565/dn565 ntpd[2278]: synchronized to 10.100.26.250, stratum 3
- 1152233324 2006.07.06 dn380 Jul 6 17:48:44 dn380/dn380 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152233324 2006.07.06 dn553 Jul 6 17:48:44 dn553/dn553 ntpd[2334]: synchronized to 10.100.28.250, stratum 3
- 1152233324 2006.07.06 dn954 Jul 6 17:48:44 dn954/dn954 ntpd[2264]: synchronized to 10.100.30.250, stratum 3
- 1152233325 2006.07.06 dn153 Jul 6 17:48:45 dn153/dn153 smartd[1982]: Device: /dev/sda, Temperature changed -2 Celsius to 32 Celsius since last report
- 1152233329 2006.07.06 dn99 Jul 6 17:48:49 dn99/dn99 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152233334 2006.07.06 dn855 Jul 6 17:48:54 dn855/dn855 ntpd[2261]: synchronized to 10.100.30.250, stratum 3
- 1152233336 2006.07.06 dn862 Jul 6 17:48:56 dn862/dn862 ntpd[2263]: synchronized to 10.100.26.250, stratum 3
- 1152233339 2006.07.06 dn208 Jul 6 17:48:59 dn208/dn208 ntpd[2271]: synchronized to 10.100.26.250, stratum 3
- 1152233343 2006.07.06 dn350 Jul 6 17:49:03 dn350/dn350 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152233350 2006.07.06 dn151 Jul 6 17:49:10 dn151/dn151 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152233353 2006.07.06 dn801 Jul 6 17:49:13 dn801/dn801 ntpd[2265]: synchronized to 10.100.28.250, stratum 3
- 1152233357 2006.07.06 dn241 Jul 6 17:49:17 dn241/dn241 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152233362 2006.07.06 dn862 Jul 6 17:49:22 dn862/dn862 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1152233364 2006.07.06 dn156 Jul 6 17:49:24 dn156/dn156 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1152233369 2006.07.06 dn875 Jul 6 17:49:29 dn875/dn875 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1152233369 2006.07.06 dn962 Jul 6 17:49:29 dn962/dn962 ntpd[2261]: synchronized to 10.100.28.250, stratum 3
- 1152233370 2006.07.06 dn868 Jul 6 17:49:30 dn868/dn868 ntpd[2266]: synchronized to 10.100.28.250, stratum 3
- 1152233372 2006.07.06 dn593 Jul 6 17:49:32 dn593/dn593 ntpd[2280]: synchronized to 10.100.26.250, stratum 3
- 1152233377 2006.07.06 dn161 Jul 6 17:49:37 dn161/dn161 smartd[1979]: Device: /dev/sda, Temperature changed -2 Celsius to 34 Celsius since last report
- 1152233377 2006.07.06 dn950 Jul 6 17:49:37 dn950/dn950 ntpd[2277]: synchronized to 10.100.26.250, stratum 3
- 1152233385 2006.07.06 dn340 Jul 6 17:49:45 dn340/dn340 ntpd[2289]: synchronized to 10.100.30.250, stratum 3
- 1152233390 2006.07.06 dn785 Jul 6 17:49:50 dn785/dn785 ntpd[2263]: synchronized to 10.100.26.250, stratum 3
- 1152233391 2006.07.06 dn424 Jul 6 17:49:51 dn424/dn424 ntpd[2285]: synchronized to 10.100.28.250, stratum 3
- 1152233393 2006.07.06 dn69 Jul 6 17:49:53 dn69/dn69 ntpd[2267]: synchronized to 10.100.28.250, stratum 3
- 1152233402 2006.07.06 dn161 Jul 6 17:50:02 dn161/dn161 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1152233403 2006.07.06 dn367 Jul 6 17:50:03 dn367/dn367 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1152233403 2006.07.06 dn747 Jul 6 17:50:03 dn747/dn747 ntpd[2289]: synchronized to 10.100.30.250, stratum 3
- 1152233407 2006.07.06 dn694 Jul 6 17:50:07 dn694/dn694 ntpd[2270]: synchronized to 10.100.26.250, stratum 3
- 1152233407 2006.07.06 dn997 Jul 6 17:50:07 dn997/dn997 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1152233408 2006.07.06 dn617 Jul 6 17:50:08 dn617/dn617 ntpd[2291]: synchronized to 10.100.26.250, stratum 3
- 1152233410 2006.07.06 dn9 Jul 6 17:50:10 dn9/dn9 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1152233412 2006.07.06 dn900 Jul 6 17:50:12 dn900/dn900 ntpd[2277]: synchronized to 10.100.26.250, stratum 3
- 1152233413 2006.07.06 dn385 Jul 6 17:50:13 dn385/dn385 ntpd[2289]: synchronized to 10.100.30.250, stratum 3
- 1152233418 2006.07.06 dn997 Jul 6 17:50:18 dn997/dn997 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1152233428 2006.07.06 dn462 Jul 6 17:50:28 dn462/dn462 ntpd[2271]: synchronized to 10.100.30.250, stratum 3
- 1152233430 2006.07.06 dn7 Jul 6 17:50:30 dn7/dn7 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1152233433 2006.07.06 dn428 Jul 6 17:50:33 dn428/dn428 ntpd[2288]: synchronized to 10.100.30.250, stratum 3
- 1152233442 2006.07.06 dn780 Jul 6 17:50:42 dn780/dn780 ntpd[2272]: synchronized to 10.100.26.250, stratum 3
- 1152233451 2006.07.06 dn957 Jul 6 17:50:51 dn957/dn957 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233452 2006.07.06 dn598 Jul 6 17:50:52 dn598/dn598 ntpd[2281]: synchronized to 10.100.28.250, stratum 3
- 1152233452 2006.07.06 dn845 Jul 6 17:50:52 dn845/dn845 ntpd[2240]: synchronized to 10.100.24.250, stratum 3
- 1152233462 2006.07.06 dn46 Jul 6 17:51:02 dn46/dn46 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152233463 2006.07.06 dn555 Jul 6 17:51:03 dn555/dn555 ntpd[2270]: synchronized to 10.100.24.250, stratum 3
- 1152233465 2006.07.06 dn800 Jul 6 17:51:05 dn800/dn800 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1152233467 2006.07.06 dn970 Jul 6 17:51:07 dn970/dn970 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1152233471 2006.07.06 dn146 Jul 6 17:51:11 dn146/dn146 ntpd[2277]: synchronized to 10.100.26.250, stratum 3
- 1152233477 2006.07.06 dn420 Jul 6 17:51:17 dn420/dn420 ntpd[2287]: synchronized to 10.100.30.250, stratum 3
- 1152233479 2006.07.06 dn40 Jul 6 17:51:19 dn40/dn40 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1152233480 2006.07.06 dn588 Jul 6 17:51:20 dn588/dn588 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1152233484 2006.07.06 dn533 Jul 6 17:51:24 dn533/dn533 ntpd[2290]: synchronized to 10.100.30.250, stratum 3
- 1152233486 2006.07.06 dn364 Jul 6 17:51:26 dn364/dn364 ntpd[2291]: synchronized to 10.100.26.250, stratum 3
- 1152233488 2006.07.06 dn773 Jul 6 17:51:28 dn773/dn773 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1152233491 2006.07.06 dn425 Jul 6 17:51:31 dn425/dn425 ntpd[2287]: synchronized to 10.100.26.250, stratum 3
- 1152233511 2006.07.06 dn325 Jul 6 17:51:51 dn325/dn325 ntpd[2289]: synchronized to 10.100.30.250, stratum 3
- 1152233516 2006.07.06 dn633 Jul 6 17:51:56 dn633/dn633 ntpd[2342]: synchronized to 10.100.28.250, stratum 3
- 1152233517 2006.07.06 dn479 Jul 6 17:51:57 dn479/dn479 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1152233521 2006.07.06 dn702 Jul 6 17:52:01 dn702/dn702 ntpd[2280]: synchronized to 10.100.28.250, stratum 3
- 1152233525 2006.07.06 dn223 Jul 6 17:52:05 dn223/dn223 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1152233530 2006.07.06 dn1008 Jul 6 17:52:10 dn1008/dn1008 ntpd[2277]: synchronized to 10.100.26.250, stratum 3
- 1152233533 2006.07.06 dn410 Jul 6 17:52:13 dn410/dn410 ntpd[2286]: synchronized to 10.100.24.250, stratum 3
- 1152233541 2006.07.06 dn776 Jul 6 17:52:21 dn776/dn776 ntpd[3375]: synchronized to 10.100.28.250, stratum 3
- 1152233547 2006.07.06 dn842 Jul 6 17:52:27 dn842/dn842 smartd[1975]: Device: /dev/sda, Temperature changed -2 Celsius to 28 Celsius since last report
- 1152233549 2006.07.06 dn244 Jul 6 17:52:29 dn244/dn244 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1152233554 2006.07.06 dn968 Jul 6 17:52:34 dn968/dn968 ntpd[2262]: synchronized to 10.100.28.250, stratum 3
- 1152233562 2006.07.06 dn579 Jul 6 17:52:42 dn579/dn579 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1152233563 2006.07.06 dn138 Jul 6 17:52:43 dn138/dn138 ntpd[2267]: synchronized to 10.100.24.250, stratum 3
- 1152233563 2006.07.06 dn53 Jul 6 17:52:43 dn53/dn53 ntpd[2298]: synchronized to 10.100.28.250, stratum 3
- 1152233574 2006.07.06 dn935 Jul 6 17:52:54 dn935/dn935 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1152233583 2006.07.06 dn150 Jul 6 17:53:03 dn150/dn150 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1152233584 2006.07.06 dn215 Jul 6 17:53:04 dn215/dn215 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1152233585 2006.07.06 dn547 Jul 6 17:53:05 dn547/dn547 ntpd[2344]: synchronized to 10.100.28.250, stratum 3
- 1152233585 2006.07.06 dn884 Jul 6 17:53:05 dn884/dn884 smartd[1996]: Device: /dev/sda, Temperature changed -2 Celsius to 25 Celsius since last report
- 1152233589 2006.07.06 dn551 Jul 6 17:53:09 dn551/dn551 ntpd[2282]: synchronized to 10.100.30.250, stratum 3
- 1152233596 2006.07.06 dn797 Jul 6 17:53:16 dn797/dn797 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152233598 2006.07.06 dn52 Jul 6 17:53:18 dn52/dn52 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152233599 2006.07.06 dn142 Jul 6 17:53:19 dn142/dn142 ntpd[2280]: synchronized to 10.100.24.250, stratum 3
- 1152233599 2006.07.06 dn579 Jul 6 17:53:19 dn579/dn579 ntpd[2280]: synchronized to 10.100.26.250, stratum 3
- 1152233605 2006.07.06 dn131 Jul 6 17:53:25 dn131/dn131 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1152233608 2006.07.06 dn996 Jul 6 17:53:28 dn996/dn996 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1152233614 2006.07.06 dn190 Jul 6 17:53:34 dn190/dn190 ntpd[2277]: synchronized to 10.100.26.250, stratum 3
- 1152233615 2006.07.06 dn247 Jul 6 17:53:35 dn247/dn247 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1152233615 2006.07.06 dn596 Jul 6 17:53:35 dn596/dn596 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1152233616 2006.07.06 dn988 Jul 6 17:53:36 dn988/dn988 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1152233620 2006.07.06 dn658 Jul 6 17:53:40 dn658/dn658 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1152233631 2006.07.06 dn130 Jul 6 17:53:51 dn130/dn130 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152233632 2006.07.06 dn351 Jul 6 17:53:52 dn351/dn351 ntpd[2290]: synchronized to 10.100.26.250, stratum 3
- 1152233634 2006.07.06 dn915 Jul 6 17:53:54 dn915/dn915 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233639 2006.07.06 dn679 Jul 6 17:53:59 dn679/dn679 ntpd[2291]: synchronized to 10.100.24.250, stratum 3
- 1152233641 2006.07.06 dn808 Jul 6 17:54:01 dn808/dn808 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1152233641 2006.07.06 dn915 Jul 6 17:54:01 dn915/dn915 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1152233651 2006.07.06 dn228 Jul 6 17:54:11 dn228/dn228 ntpd[2270]: synchronized to 10.100.30.250, stratum 3
- 1152233651 2006.07.06 dn788 Jul 6 17:54:11 dn788/dn788 ntpd[2290]: synchronized to 10.100.28.250, stratum 3
- 1152233652 2006.07.06 dn787 Jul 6 17:54:12 dn787/dn787 ntpd[2272]: synchronized to 10.100.24.250, stratum 3
- 1152233653 2006.07.06 dn596 Jul 6 17:54:13 dn596/dn596 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1152233654 2006.07.06 dn287 Jul 6 17:54:14 dn287/dn287 ntpd[2292]: synchronized to 10.100.24.250, stratum 3
- 1152233654 2006.07.06 dn975 Jul 6 17:54:14 dn975/dn975 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1152233656 2006.07.06 dn368 Jul 6 17:54:16 dn368/dn368 ntpd[2295]: synchronized to 10.100.30.250, stratum 3
- 1152233658 2006.07.06 dn222 Jul 6 17:54:18 dn222/dn222 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1152233659 2006.07.06 dn462 Jul 6 17:54:19 dn462/dn462 ntpd[2271]: synchronized to 10.100.26.250, stratum 3
- 1152233663 2006.07.06 dn491 Jul 6 17:54:23 dn491/dn491 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1152233670 2006.07.06 dn514 Jul 6 17:54:30 dn514/dn514 ntpd[2282]: synchronized to 10.100.24.250, stratum 3
- 1152233670 2006.07.06 dn732 Jul 6 17:54:30 dn732/dn732 ntpd[2293]: synchronized to 10.100.30.250, stratum 3
- 1152233672 2006.07.06 dn476 Jul 6 17:54:32 dn476/dn476 ntpd[2285]: synchronized to 10.100.24.250, stratum 3
- 1152233676 2006.07.06 dn610 Jul 6 17:54:36 dn610/dn610 ntpd[2343]: synchronized to 10.100.30.250, stratum 3
- 1152233682 2006.07.06 dn760 Jul 6 17:54:42 dn760/dn760 ntpd[2289]: synchronized to 10.100.28.250, stratum 3
- 1152233687 2006.07.06 dn287 Jul 6 17:54:47 dn287/dn287 ntpd[2292]: synchronized to 10.100.28.250, stratum 3
- 1152233689 2006.07.06 dn743 Jul 6 17:54:49 dn743/dn743 ntpd[2272]: synchronized to 10.100.26.250, stratum 3
- 1152233690 2006.07.06 dn214 Jul 6 17:54:50 dn214/dn214 ntpd[2278]: synchronized to 10.100.24.250, stratum 3
- 1152233702 2006.07.06 dn83 Jul 6 17:55:02 dn83/dn83 ntpd[2282]: synchronized to 10.100.28.250, stratum 3
- 1152233703 2006.07.06 dn582 Jul 6 17:55:03 dn582/dn582 ntpd[2288]: synchronized to 10.100.28.250, stratum 3
- 1152233706 2006.07.06 dn554 Jul 6 17:55:06 dn554/dn554 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152233708 2006.07.06 dn310 Jul 6 17:55:08 dn310/dn310 kernel: spyplt[25484]: segfault at 0000000000000000 rip 000000000041a43c rsp 0000007fbfffce00 error 6
- 1152233716 2006.07.06 dn638 Jul 6 17:55:16 dn638/dn638 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1152233720 2006.07.06 dn535 Jul 6 17:55:20 dn535/dn535 ntpd[2285]: synchronized to 10.100.28.250, stratum 3
- 1152233720 2006.07.06 dn685 Jul 6 17:55:20 dn685/dn685 ntpd[2290]: synchronized to 10.100.26.250, stratum 3
- 1152233722 2006.07.06 dn937 Jul 6 17:55:22 dn937/dn937 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1152233729 2006.07.06 dn201 Jul 6 17:55:29 dn201/dn201 ntpd[2280]: synchronized to 10.100.28.250, stratum 3
- 1152233736 2006.07.06 dn652 Jul 6 17:55:36 dn652/dn652 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233740 2006.07.06 dn354 Jul 6 17:55:40 dn354/dn354 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1152233744 2006.07.06 dn27 Jul 6 17:55:44 dn27/dn27 ntpd[2278]: synchronized to 10.100.26.250, stratum 3
- 1152233754 2006.07.06 dn340 Jul 6 17:55:54 dn340/dn340 ntpd[2289]: synchronized to 10.100.26.250, stratum 3
- 1152233755 2006.07.06 dn209 Jul 6 17:55:55 dn209/dn209 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1152233760 2006.07.06 dn854 Jul 6 17:56:00 dn854/dn854 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1152233761 2006.07.06 dn66 Jul 6 17:56:01 dn66/dn66 ntpd[2207]: synchronized to 10.100.30.250, stratum 3
- 1152233766 2006.07.06 dn35 Jul 6 17:56:06 dn35/dn35 ntpd[2278]: synchronized to 10.100.26.250, stratum 3
- 1152233770 2006.07.06 dn719 Jul 6 17:56:10 dn719/dn719 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152233774 2006.07.06 dn57 Jul 6 17:56:14 dn57/dn57 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1152233777 2006.07.06 dn479 Jul 6 17:56:17 dn479/dn479 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1152233778 2006.07.06 dn35 Jul 6 17:56:18 dn35/dn35 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152233797 2006.07.06 dn289 Jul 6 17:56:37 dn289/dn289 ntpd[2280]: synchronized to 10.100.24.250, stratum 3
- 1152233801 2006.07.06 dn547 Jul 6 17:56:41 dn547/dn547 ntpd[2344]: synchronized to 10.100.24.250, stratum 3
- 1152233804 2006.07.06 dn303 Jul 6 17:56:44 dn303/dn303 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233810 2006.07.06 dn942 Jul 6 17:56:50 dn942/dn942 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1152233813 2006.07.06 dn506 Jul 6 17:56:53 dn506/dn506 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1152233815 2006.07.06 dn74 Jul 6 17:56:55 dn74/dn74 ntpd[2282]: synchronized to 10.100.28.250, stratum 3
- 1152233820 2006.07.06 dn535 Jul 6 17:57:00 dn535/dn535 ntpd[2285]: synchronized to 10.100.26.250, stratum 3
- 1152233821 2006.07.06 dn963 Jul 6 17:57:01 dn963/dn963 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1152233822 2006.07.06 dn58 Jul 6 17:57:02 dn58/dn58 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1152233831 2006.07.06 dn538 Jul 6 17:57:11 dn538/dn538 ntpd[2291]: synchronized to 10.100.28.250, stratum 3
- 1152233833 2006.07.06 dn1021 Jul 6 17:57:13 dn1021/dn1021 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1152233839 2006.07.06 dn894 Jul 6 17:57:19 dn894/dn894 ntpd[2261]: synchronized to 10.100.26.250, stratum 3
- 1152233842 2006.07.06 dn351 Jul 6 17:57:22 dn351/dn351 ntpd[2290]: synchronized to 10.100.28.250, stratum 3
- 1152233844 2006.07.06 dn408 Jul 6 17:57:24 dn408/dn408 ntpd[2288]: synchronized to 10.100.30.250, stratum 3
- 1152233846 2006.07.06 dn259 Jul 6 17:57:26 dn259/dn259 ntpd[2335]: synchronized to 10.100.30.250, stratum 3
- 1152233847 2006.07.06 dn825 Jul 6 17:57:27 dn825/dn825 ntpd[2286]: synchronized to 10.100.30.250, stratum 3
- 1152233851 2006.07.06 dn338 Jul 6 17:57:31 dn338/dn338 ntpd[2292]: synchronized to 10.100.28.250, stratum 3
- 1152233853 2006.07.06 dn208 Jul 6 17:57:33 dn208/dn208 ntpd[2271]: synchronized to 10.100.24.250, stratum 3
- 1152233857 2006.07.06 dn115 Jul 6 17:57:37 dn115/dn115 ntpd[2272]: synchronized to 10.100.30.250, stratum 3
- 1152233860 2006.07.06 dn196 Jul 6 17:57:40 dn196/dn196 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152233863 2006.07.06 dn115 Jul 6 17:57:43 dn115/dn115 ntpd[2272]: synchronized to 10.100.26.250, stratum 3
- 1152233863 2006.07.06 dn587 Jul 6 17:57:43 dn587/dn587 ntpd[2290]: synchronized to 10.100.24.250, stratum 3
- 1152233865 2006.07.06 dn823 Jul 6 17:57:45 dn823/dn823 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1152233870 2006.07.06 dn594 Jul 6 17:57:50 dn594/dn594 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1152233873 2006.07.06 dn394 Jul 6 17:57:53 dn394/dn394 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1152233874 2006.07.06 dn693 Jul 6 17:57:54 dn693/dn693 ntpd[2345]: synchronized to 10.100.30.250, stratum 3
- 1152233876 2006.07.06 dn759 Jul 6 17:57:56 dn759/dn759 ntpd[2283]: synchronized to 10.100.26.250, stratum 3
- 1152233877 2006.07.06 dn378 Jul 6 17:57:57 dn378/dn378 ntpd[2286]: synchronized to 10.100.26.250, stratum 3
- 1152233885 2006.07.06 dn962 Jul 6 17:58:05 dn962/dn962 ntpd[2261]: synchronized to 10.100.26.250, stratum 3
- 1152233889 2006.07.06 dn194 Jul 6 17:58:09 dn194/dn194 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152233896 2006.07.06 dn704 Jul 6 17:58:16 dn704/dn704 ntpd[2285]: synchronized to 10.100.30.250, stratum 3
- 1152233897 2006.07.06 dn220 Jul 6 17:58:17 dn220/dn220 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1152233899 2006.07.06 dn8 Jul 6 17:58:19 dn8/dn8 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1152233900 2006.07.06 dn222 Jul 6 17:58:20 dn222/dn222 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152233903 2006.07.06 dn523 Jul 6 17:58:23 dn523/dn523 ntpd[2286]: synchronized to 10.100.26.250, stratum 3
- 1152233903 2006.07.06 dn790 Jul 6 17:58:23 dn790/dn790 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1152233910 2006.07.06 dn113 Jul 6 17:58:30 dn113/dn113 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1152233932 2006.07.06 dn523 Jul 6 17:58:52 dn523/dn523 ntpd[2286]: synchronized to 10.100.24.250, stratum 3
- 1152233934 2006.07.06 dn869 Jul 6 17:58:54 dn869/dn869 ntpd[2264]: synchronized to 10.100.30.250, stratum 3
- 1152233935 2006.07.06 dn515 Jul 6 17:58:55 dn515/dn515 ntpd[2291]: synchronized to 10.100.28.250, stratum 3
- 1152233936 2006.07.06 dn695 Jul 6 17:58:56 dn695/dn695 ntpd[2281]: synchronized to 10.100.26.250, stratum 3
- 1152233942 2006.07.06 dn12 Jul 6 17:59:02 dn12/dn12 ntpd[2268]: synchronized to 10.100.24.250, stratum 3
- 1152233949 2006.07.06 dn790 Jul 6 17:59:09 dn790/dn790 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1152233954 2006.07.06 dn889 Jul 6 17:59:14 dn889/dn889 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1152233958 2006.07.06 dn852 Jul 6 17:59:18 dn852/dn852 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1152233959 2006.07.06 dn653 Jul 6 17:59:19 dn653/dn653 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1152233959 2006.07.06 dn794 Jul 6 17:59:19 dn794/dn794 ntpd[2266]: synchronized to 10.100.24.250, stratum 3
- 1152233960 2006.07.06 dn16 Jul 6 17:59:20 dn16/dn16 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1152233964 2006.07.06 dn857 Jul 6 17:59:24 dn857/dn857 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1152233969 2006.07.06 dn718 Jul 6 17:59:29 dn718/dn718 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1152233974 2006.07.06 dn718 Jul 6 17:59:34 dn718/dn718 ntpd[2268]: synchronized to 10.100.24.250, stratum 3
- 1152233977 2006.07.06 dn18 Jul 6 17:59:37 dn18/dn18 ntpd[2211]: synchronized to 10.100.28.250, stratum 3
- 1152233980 2006.07.06 dn615 Jul 6 17:59:40 dn615/dn615 ntpd[2282]: synchronized to 10.100.24.250, stratum 3
- 1152233983 2006.07.06 dn857 Jul 6 17:59:43 dn857/dn857 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1152233989 2006.07.06 dn336 Jul 6 17:59:49 dn336/dn336 ntpd[2290]: synchronized to 10.100.24.250, stratum 3
- 1152233992 2006.07.06 dn576 Jul 6 17:59:52 dn576/dn576 ntpd[2347]: synchronized to 10.100.30.250, stratum 3
- 1152233993 2006.07.06 dn611 Jul 6 17:59:53 dn611/dn611 ntpd[2284]: synchronized to 10.100.24.250, stratum 3
- 1152233993 2006.07.06 dn934 Jul 6 17:59:53 dn934/dn934 ntpd[2261]: synchronized to 10.100.30.250, stratum 3
- 1152233998 2006.07.06 dn706 Jul 6 17:59:58 dn706/dn706 ntpd[2287]: synchronized to 10.100.26.250, stratum 3
- 1152234001 2006.07.06 dn220 Jul 6 18:00:01 dn220/dn220 ntpd[2263]: synchronized to 10.100.26.250, stratum 3
- 1152234002 2006.07.06 dn221 Jul 6 18:00:02 dn221/dn221 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1152234010 2006.07.06 dn366 Jul 6 18:00:10 dn366/dn366 ntpd[2284]: synchronized to 10.100.26.250, stratum 3
- 1152234011 2006.07.06 dn514 Jul 6 18:00:11 dn514/dn514 smartd[1984]: Device: /dev/sda, Temperature changed 2 Celsius to 41 Celsius since last report
